date,daily_cases,country
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
",,Germany
"1 Jul
,194725
,8985
",466,Germany
"2 Jul
,195228
,8994
",503,Germany
"3 Jul
,195674
,9003
",446,Germany
"4 Jul
,196096
,9010
",422,Germany
"5 Jul
,196335
,9012
",239,Germany
"6 Jul
,196554
,9016
",219,Germany
"7 Jul
,196944
,9024
",390,Germany
"8 Jul
,197341
,9036
",397,Germany
"9 Jul
,197783
,9048
",442,Germany
"10 Jul
,198178
,9054
",395,Germany
"11 Jul
,198556
,9060
",378,Germany
"12 Jul
,198804
,9063
",248,Germany
"13 Jul
,198963
,9064
",159,Germany
"14 Jul
,199375
,9068
",412,Germany
"15 Jul
,199726
,9071
",351,Germany
"16 Jul
,200260
,9078
",534,Germany
"17 Jul
,200843
,9082
",583,Germany
"18 Jul
,201372
,9083
",529,Germany
"19 Jul
,201574
,9084
",202,Germany
"20 Jul
,201823
,9086
",249,Germany
"21 Jul
,202345
,9090
",522,Germany
"22 Jul
,202799
,9095
",454,Germany
"23 Jul
,203368
,9101
",569,Germany
"24 Jul
,204183
,9111
",815,Germany
"25 Jul
,204964
,9118
",781,Germany
"26 Jul
,205269
,9118
",305,Germany
"27 Jul
,205609
,9118
",340,Germany
"28 Jul
,206242
,9122
",633,Germany
"29 Jul
,206926
,9128
",684,Germany
"30 Jul
,207828
,9134
",902,Germany
"31 Jul
,208698
,9141
",870,Germany
"Date
,States
,Cases
",,Germany
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
",,Germany
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
",,Germany
"1 Aug
,209653
,9148
",955,Germany
"2 Aug
,209893
,9141
",240,Germany
"3 Aug
,210402
,9148
",509,Germany
"4 Aug
,211281
,9156
",879,Germany
"5 Aug
,212022
,9168
",741,Germany
"6 Aug
,213067
,9175
",1045,Germany
"7 Aug
,214214
,9183
",1147,Germany
"8 Aug
,215336
,9195
",1122,Germany
"9 Aug
,215891
,9196
",555,Germany
"10 Aug
,216327
,9197
",436,Germany
"11 Aug
,217293
,9201
",966,Germany
"12 Aug
,218519
,9207
",1226,Germany
"13 Aug
,219964
,9211
",1445,Germany
"14 Aug
,221413
,9225
",1449,Germany
"15 Aug
,222828
,9231
",1415,Germany
"16 Aug
,223453
,9231
",625,Germany
"17 Aug
,224014
,9232
",561,Germany
"18 Aug
,225404
,9236
",1390,Germany
"19 Aug
,226914
,9243
",1510,Germany
"20 Aug
,228621
,9253
",1707,Germany
"21 Aug
,230048
,9260
",1427,Germany
"22 Aug
,232082
,9267
",2034,Germany
"23 Aug
,232864
,9269
",782,Germany
"24 Aug
,233575
,9272
",711,Germany
"25 Aug
,234853
,9277
",1278,Germany
"26 Aug
,236429
,9280
",1576,Germany
"27 Aug
,237936
,9285
",1507,Germany
"28 Aug
,239507
,9288
",1571,Germany
"29 Aug
,240986
,9289
",1479,Germany
"30 Aug
,241771
,9295
",785,Germany
"31 Aug
,242381
,9298
",610,Germany
"Date
,States
,Cases
",,Germany
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
",,Germany
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
",,Germany
"1 Sep
,243599
,9302
",1218,Germany
"2 Sep
,244855
,9313
",1256,Germany
"3 Sep
,246166
,9321
",1311,Germany
"4 Sep
,247619
,9322
",1453,Germany
"5 Sep
,248997
,9324
",1378,Germany
"6 Sep
,249985
,9325
",988,Germany
"7 Sep
,250799
,9325
",814,Germany
"8 Sep
,252298
,9329
",1499,Germany
"9 Sep
,253474
,9338
",1176,Germany
"10 Sep
,255366
,9341
",1892,Germany
"11 Sep
,256850
,9342
",1484,Germany
"Date
",,Germany
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
",,Germany
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
",,Germany
"
,States
,Cases
",,Germany
"
,
,
",,Germany
