island,locality,area,price,beds,size,floor,date
Mallorca,Palma de Mallorca,La Soledat,188000,4,126,1,2020-09-09
Mallorca,Andratx,Andratx Pueblo,199000,3,134,1,2020-09-09
Mallorca,Inca,Gran Via de Colom,198000,3,128,1,2020-09-09
Mallorca,Cala Ratjada,42,185000,2,92,1,2020-09-09
Mallorca,Manacor,Porto Cristo,149000,3,102,1,2020-09-09
Mallorca,Son Servera,20,155000,2,90,2,2020-09-09
Mallorca,Muro,21,199000,3,190,1,2020-09-09
Mallorca,Muro,Comunes de Ca n'Oliver,186000,3,90,1,2020-09-09
Mallorca,Palma de Mallorca,Sindicat,194900,2,90,4,2020-09-09
Mallorca,Alcúdia,Port d'Alcúdia - Platja d'Alcúdia,179000,3,83,2,2020-09-09
Mallorca,Inca,Gran Via de Colom,190000,3,160,2,2020-09-09
Mallorca,Llucmajor,Cala Pi-Vallgornera,180000,2,90,1,2020-09-09
Mallorca,Palma de Mallorca,Son Canals - Can Capes,187000,3,130,1,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,185000,2,74,2,2020-09-09
Mallorca,Felanitx,Portocolom,175000,3,105,1,2020-09-09
Mallorca,Inca,Son Amonda - Reis Catòlics,195000,3,90,1,2020-09-09
Mallorca,Palma de Mallorca,El Terreno,197000,2,92,1,2020-09-09
Mallorca,Llucmajor,S'Arenal,165000,3,72,8,2020-09-09
Mallorca,Llucmajor,S'Arenal,190000,4,120,4,2020-09-09
Mallorca,Calvià,Palmanova,165000,2,68,3,2020-09-09
Mallorca,Palma de Mallorca,Son Dureta,189000,4,113,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,163000,3,80,2,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,170000,2,71,2,2020-09-09
Mallorca,Palma de Mallorca,Son Oliva,176000,3,89,2,2020-09-09
Mallorca,Palma de Mallorca,Son Dameto,199000,2,100,4,2020-09-09
Mallorca,Calvià,Magaluf,199900,3,73,1,2020-09-09
Mallorca,Pobla (Sa),calle Sagasta,149900,3,108,3,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,149000,2,84,2,2020-09-09
Mallorca,Inca,Cristo Rey - Parque Europa,177000,3,110,2,2020-09-09
Mallorca,Porreres,estacion,155000,2,101,2,2020-09-09
Mallorca,Palma de Mallorca,Camp Redo,185000,2,80,3,2020-09-09
Mallorca,Alcúdia,Port d'Alcúdia - Platja d'Alcúdia,160000,2,65,7,2020-09-09
Mallorca,Cala Millor,35,159000,3,88,2,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,179000,3,92,2,2020-09-09
Mallorca,Inca,Centro,180000,4,175,1,2020-09-09
Mallorca,Palma de Mallorca,Bons Aires,185000,4,108,3,2020-09-09
Mallorca,Palma de Mallorca,Son Xigala,186000,3,90,1,2020-09-09
Mallorca,Calvià,Son Ferrer,181000,2,70,1,2020-09-09
Mallorca,Calvià,Magaluf,130000,2,50,1,2020-09-09
Mallorca,Pobla (Sa),,160000,3,180,2,2020-09-09
Mallorca,Llucmajor,Llucmajor Interior,179000,2,75,1,2020-09-09
Mallorca,Palma de Mallorca,Genova,199000,2,88,3,2020-09-09
Mallorca,Calvià,Palmanova,180000,2,73,1,2020-09-09
Mallorca,Manacor,S'Illot-Cala Morlanda,139900,3,122,2,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,169900,3,95,6,2020-09-09
Mallorca,Sineu,CL TRAMUNTANA,199900,3,117,1,2020-09-09
Mallorca,Porreres,illes balears,182000,3,123,3,2020-09-09
Mallorca,Palma de Mallorca,Son Roca - Son Ximelis - Son Anglada,96000,3,80,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,182000,3,105,3,2020-09-09
Mallorca,Inca,Son Amonda - Reis Catòlics,172000,2,87,1,2020-09-09
Mallorca,Palma de Mallorca,Son Canals - Can Capes,199900,3,93,2,2020-09-09
Mallorca,Palma de Mallorca,El Vivero,139000,3,95,4,2020-09-09
Mallorca,Palma de Mallorca,Nou Llevant,187500,3,75,2,2020-09-09
Mallorca,Inca,Blanquer,172000,2,86,2,2020-09-09
Mallorca,Palma de Mallorca,Son Canals - Can Capes,195000,4,112,2,2020-09-09
Mallorca,Calvià,Son Ferrer,189000,3,95,3,2020-09-09
Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,199500,3,90,1,2020-09-09
Mallorca,Campos,L' est,172000,3,85,2,2020-09-09
Mallorca,Palma de Mallorca,Sa Indiotería - Son Castelló,162000,4,115,4,2020-09-09
Mallorca,Palma de Mallorca,La Soledat,138000,3,108,3,2020-09-09
Mallorca,Montuiri,22,172000,3,140,2,2020-09-09
Mallorca,Palma de Mallorca,Bons Aires,184000,3,79,1,2020-09-09
Mallorca,Felanitx,Portocolom,159500,2,65,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,191000,3,105,3,2020-09-09
Mallorca,Palma de Mallorca,Son Oliva,184000,3,98,3,2020-09-09
Mallorca,Palma de Mallorca,Son Roca - Son Ximelis - Son Anglada,139000,3,74,3,2020-09-09
Mallorca,Palma de Mallorca,El Vivero,199500,3,105,3,2020-09-09
Mallorca,Palma de Mallorca,Nou Llevant,165000,2,57,1,2020-09-09
Mallorca,Calvià,Palmanova,180000,2,78,3,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,187000,3,95,2,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,187000,3,95,2,2020-09-09
Mallorca,Llucmajor,Llucmajor Interior,138000,3,127,3,2020-09-09
Mallorca,Inca,Gran Via de Colom,149800,3,104,4,2020-09-09
Mallorca,Palma de Mallorca,Camp Redo,139450,3,100,5,2020-09-09
Mallorca,Campos,,150000,3,97,1,2020-09-09
Mallorca,Andratx,Andratx Pueblo,157500,2,85,2,2020-09-09
Mallorca,Palma de Mallorca,Son Cladera - Son Fuster,128000,3,82,5,2020-09-09
Mallorca,Palma de Mallorca,Camp Redo,199000,4,101,2,2020-09-09
Mallorca,Llucmajor,Llucmajor Interior,199000,2,90,2,2020-09-09
Mallorca,Canyamel,via den jordi,198000,2,81,1,2020-09-09
Mallorca,Santa Margalida,Can Picafort,190000,3,85,1,2020-09-09
Mallorca,Campos,13,184500,2,94,1,2020-09-09
