area,address,number,price,date,property_type,full_address,lat,long
Coolroe,Willow Grove,47,318000,2021-05-14,Second-Hand,"47 Willow Grove, Coolroe",51.885279789132504,-8.622716969745719
Carrigrohanebeg,The Willows,199,261500,2021-05-07,Second-Hand,"199 The Willows, Carrigrohanebeg",51.89309917070151,-8.580849757357647
Old Quarter,The Cresent,52,253000,2019-07-10,Second-Hand,"52 The Cresent, Old Quarter",51.89114003596089,-8.59633561033392
Parknamore,Parknamore Rise,23,265000,2019-07-10,Second-Hand,"23 Parknamore Rise, Parknamore",51.88458744794133,-8.609309161051812
Old Quarter,Leslies Arch,145,295000,2019-07-04,Second-Hand,"145 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
An Caislean,An Caislain Grove,90,242000,2019-07-03,Second-Hand,"90 An Caislain Grove, An Caislean",51.88419579207018,-8.604721941977742
Westcourt,Westcourt Heights,14,245000,2019-03-29,Second-Hand,"14 Westcourt Heights, Westcourt",51.88681255417706,-8.616295628522487
Old Quarter,Coopers Grange,33,329999,2019-03-29,New Build,"33 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Greenfields,Woodberry,3,690000,2019-03-28,Second-Hand,"3 Woodberry, Greenfields",51.87941701969475,-8.620193493581136
Coolroe,Coolroe Heights,14,315000,2019-03-28,Second-Hand,"14 Coolroe Heights, Coolroe",51.885279789132504,-8.622716969745719
Station Road,Tudor Grove,10,260000,2019-03-27,Second-Hand,"10 Tudor Grove, Station Road",51.885856656204545,-8.590996730369481
The Cloisters,A Brompton House,,101579,2019-03-20,Second-Hand," A Brompton House, The Cloisters",51.88453436126935,-8.578108099687265
Town Center,Block 3 Tus Abhaile,4,208000,2019-03-18,Second-Hand,"4 Block 3 Tus Abhaile, Town Center",51.8878563321983,-8.600737381727024
Westcourt,Westcourt Heights,63,213000,2019-03-15,Second-Hand,"63 Westcourt Heights, Westcourt",51.88681255417706,-8.616295628522487
Old Quarter,Leslies Arch,102,275000,2019-10-29,Second-Hand,"102 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Castlepark,Castlepark,42,185000,2019-10-28,Second-Hand,"42 Castlepark, Castlepark",51.88653927567583,-8.585310716875346
Greenfield,Oldcourt,4,433000,2019-10-25,Second-Hand,"4 Oldcourt, Greenfield",51.88072634468435,-8.611355403381312
Old Quarter,Millers Court,61,399999,2019-10-25,New Build,"61 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
West Village,Kiermena,1,540000,2019-10-25,Second-Hand,"1 Kiermena, West Village",51.88675485217772,-8.606397553304374
The Cloisters,The Cloisters,92,270000,2019-10-24,Second-Hand,"92 The Cloisters, The Cloisters",51.88453436126935,-8.578108099687265
The Quadrants,North East Quadrants,168,194000,2019-10-24,Second-Hand,"168 North East Quadrants, The Quadrants",51.8890702782036,-8.589706799326772
Old Quarter,Coopers Grange,4,539125,2020-06-05,New Build,"4 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
The Crescent,The Crescent,35,375000,2020-06-04,New Build,"35 The Crescent, The Crescent",51.88974689003794,-8.592724974545812
Maglin,Maglin Green,4,377983,2020-06-02,New Build,"4 Maglin Green, Maglin",51.88128516801954,-8.59394691502851
The Maltings,Distillery Court,19,211000,2020-05-29,Second-Hand,"19 Distillery Court, The Maltings",51.88503727921537,-8.591352822622822
Old Quarter,Coopers Grange,5,476161,2020-05-29,New Build,"5 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
An Caislean,An Caislean Drive,31,240000,2020-05-21,Second-Hand,"31 An Caislean Drive, An Caislean",51.88419579207018,-8.604721941977742
Shalimar Court,Shalimar Court,11,269000,2020-05-18,Second-Hand,"11 Shalimar Court, Shalimar Court",51.88896130535807,-8.578969730369383
Old Quarter,Leslies Arch,64,233000,2020-05-13,Second-Hand,"64 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Maglin,Maglin Green,5,385000,2020-05-08,New Build,"5 Maglin Green, Maglin",51.88128516801954,-8.59394691502851
Classis Lake,Berryfield,8,350000,2020-05-08,Second-Hand,"8 Berryfield, Classis Lake",51.88586099008718,-8.62822296864587
Westcourt,Bellview,1,403000,2018-11-30,Second-Hand,"1 Bellview, Westcourt",51.88681255417706,-8.616295628522487
An Caislean,Caislean Close,8,262000,2018-11-30,Second-Hand,"8 Caislean Close, An Caislean",51.88419579207018,-8.604721941977742
Coolroe,Coolroe Court,1,507000,2018-11-28,New Build,"1 Coolroe Court, Coolroe",51.885279789132504,-8.622716969745719
The Cloisters,The Cloisters,60,265000,2018-11-27,Second-Hand,"60 The Cloisters, The Cloisters",51.88453436126935,-8.578108099687265
The Crescent,The Crescent,6,270000,2020-02-24,Second-Hand,"6 The Crescent, The Crescent",51.88974689003794,-8.592724974545812
Old Quarter,Millers Court,13,275000,2020-02-24,Second-Hand,"13 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange,6,456525,2020-02-21,New Build,"6 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,60,400000,2020-02-18,New Build,"60 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Westgrove,Westgrove,26,205666,2020-02-14,Second-Hand,"26 Westgrove, Westgrove",51.88676931020199,-8.6146432996872
Coolroe,The Stables,17,352000,2020-02-10,Second-Hand,"17 The Stables, Coolroe",51.885279789132504,-8.622716969745719
Aylsbury,Aylsbury,39,300000,2020-02-10,Second-Hand,"39 Aylsbury, Aylsbury",51.88284449037205,-8.620440916875388
Heathfield,The Avenue,10,325000,2020-02-06,New Build,"10 The Avenue, Heathfield",51.88275370396547,-8.57522707085204
Leesdale Court,Leesdale Court,16,294000,2020-02-06,Second-Hand,"16 Leesdale Court, Leesdale Court",51.89042385266594,-8.583049957357712
An Caislean,Tara An Caisleain,1,207000,2020-02-05,Second-Hand,"1 Tara An Caisleain, An Caislean",51.88419579207018,-8.604721941977742
An Caislean,An Caislean Heights,157,200000,2021-04-29,Second-Hand,"157 An Caislean Heights, An Caislean",51.88419579207018,-8.604721941977742
Highfield,Highfield Park,7,317000,2021-04-27,Second-Hand,"7 Highfield Park, Highfield",51.88483134751023,-8.573114016875365
Innishmore,Innishmore Grove,35,188000,2021-04-22,Second-Hand,"35 Innishmore Grove, Innishmore",51.88897474404985,-8.608958999892096
Wyndham Downs,Wyndham Downs,43,300000,2021-04-22,Second-Hand,"43 Wyndham Downs, Wyndham Downs",51.88594295587414,-8.620296147557605
Greenfields,Fernwalk,46,865000,2021-04-21,Second-Hand,"46 Fernwalk, Greenfields",51.87941701969475,-8.620193493581136
Maglin,Maglin Green,7,420000,2021-04-19,New Build,"7 Maglin Green, Maglin",51.88128516801954,-8.59394691502851
Muskerry Estate,Castle Avenue,41,300000,2021-04-09,Second-Hand,"41 Castle Avenue, Muskerry Estate",51.885514844369936,-8.596310161258103
The Crescent,The Crescent,23,270000,2021-04-08,Second-Hand,"23 The Crescent, The Crescent",51.88974689003794,-8.592724974545812
Greystones,Greystones,29,265000,2021-04-01,Second-Hand,"29 Greystones, Greystones",51.88708566318779,-8.572495537963082
Old Quarter,Waltham Abbey,6,600000,2019-03-15,Second-Hand,"6 Waltham Abbey, Old Quarter",51.89114003596089,-8.59633561033392
Town Center,Poulavone,,325000,2019-03-15,Second-Hand," Poulavone, Town Center",51.8878563321983,-8.600737381727024
Coolroe,The Avenue,8,266000,2019-03-15,Second-Hand,"8 The Avenue, Coolroe",51.885279789132504,-8.622716969745719
Classis Lake,The Oaks,12,368000,2019-03-14,Second-Hand,"12 The Oaks, Classis Lake",51.88586099008718,-8.62822296864587
Old Quarter,Leslies Arch,147,260000,2019-03-14,Second-Hand,"147 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Town Center,Church View,65,227500,2019-03-12,Second-Hand,"65 Church View, Town Center",51.8878563321983,-8.600737381727024
Avoncourt,Avoncourt,13,330000,2019-03-11,Second-Hand,"13 Avoncourt, Avoncourt",51.88515208061713,-8.612719189887075
Old Quarter,Coopers Grange,32b,255000,2019-03-11,New Build,"32b Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Muskerry Estate,Holly Road,19,290000,2019-03-11,Second-Hand,"19 Holly Road, Muskerry Estate",51.885514844369936,-8.596310161258103
Old Quarter,Coopers Grange,32a,255000,2019-03-08,New Build,"32a Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Muskerry Estate,Castle Avenue,59,270000,2019-10-23,Second-Hand,"59 Castle Avenue, Muskerry Estate",51.885514844369936,-8.596310161258103
Heathfield,The Mews,23,369999,2019-10-22,New Build,"23 The Mews, Heathfield",51.88275370396547,-8.57522707085204
Old Quarter,Leslies Arch Old Quarter,4,395000,2019-10-21,Second-Hand,"4 Leslies Arch Old Quarter, Old Quarter",51.89114003596089,-8.59633561033392
Greystones,Greystones,17,265000,2019-10-17,Second-Hand,"17 Greystones, Greystones",51.88708566318779,-8.572495537963082
Shalimar Court,Shalimar Court,4,257500,2019-10-17,Second-Hand,"4 Shalimar Court, Shalimar Court",51.88896130535807,-8.578969730369383
Old Quarter,Coopers Grange,35,392710,2019-10-16,New Build,"35 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Beech Park,Beech Park,70,232000,2020-05-07,Second-Hand,"70 Beech Park, Beech Park",51.884462825784524,-8.586660730369518
Coolroe,Coolroe Heights,12,282000,2020-04-28,Second-Hand,"12 Coolroe Heights, Coolroe",51.885279789132504,-8.622716969745719
Aylsbury,Aylsbury Lawn,1,387000,2020-04-24,Second-Hand,"1 Aylsbury Lawn, Aylsbury",51.88284449037205,-8.620440916875388
Maglin,Maglin Green,1,475000,2020-02-04,New Build,"1 Maglin Green, Maglin",51.88128516801954,-8.59394691502851
An Caislean,An Caislean,191,255000,2020-02-03,Second-Hand,"191 An Caislean, An Caislean",51.88419579207018,-8.604721941977742
Old Quarter,Coopers Grange,14,415000,2020-01-30,Second-Hand,"14 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
The Crescent,The Crescent,23,323000,2020-01-30,Second-Hand,"23 The Crescent, The Crescent",51.88974689003794,-8.592724974545812
Old Quarter,Leslies Arch,30,372500,2020-01-30,Second-Hand,"30 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Coolroe,The Close,40,305000,2020-01-21,Second-Hand,"40 The Close, Coolroe",51.885279789132504,-8.622716969745719
Rosewood,Rosewood Estate,118,292500,2020-01-20,Second-Hand,"118 Rosewood Estate, Rosewood",51.88865181082447,-8.575978970851866
Church View,Churchview,7,240000,2020-01-17,Second-Hand,"7 Churchview, Church View",51.88549636879165,-8.592625889887055
Old Quarter,Leslies Arch,91,330500,2020-01-15,Second-Hand,"91 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Leslies Arch,73,390000,2020-01-14,Second-Hand,"73 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Westcourt,Westcourt Heights,92,300000,2020-01-08,Second-Hand,"92 Westcourt Heights, Westcourt",51.88681255417706,-8.616295628522487
Coolroe,Old Quarry,17,248000,2021-04-01,Second-Hand,"17 Old Quarry, Coolroe",51.885279789132504,-8.622716969745719
Inniscarra View,Sweetbriar Lane,9,317000,2021-03-31,Second-Hand,"9 Sweetbriar Lane, Inniscarra View",51.88901621244116,-8.572065214668026
Town Center,Rowan House,1,465000,2021-03-30,Second-Hand,"1 Rowan House, Town Center",51.8878563321983,-8.600737381727024
Cois Na Cora,Cois Na Cora,9,274000,2021-03-29,Second-Hand,"9 Cois Na Cora, Cois Na Cora",51.89115617169389,-8.586177713181245
Station Road,Tudor Grove,1a,357500,2021-03-26,Second-Hand,"1a Tudor Grove, Station Road",51.885856656204545,-8.590996730369481
Maglin,Maglin Green,13,394999,2021-03-23,New Build,"13 Maglin Green, Maglin",51.88128516801954,-8.59394691502851
Mukerry Estate,Castle Avenue,56,300000,2021-03-23,Second-Hand,"56 Castle Avenue, Mukerry Estate",51.88554133320571,-8.596438907281483
Carrigrohanebeg,The Willows,188,268000,2021-03-23,Second-Hand,"188 The Willows, Carrigrohanebeg",51.89309917070151,-8.580849757357647
An Caislean,Caislean Close,24,252500,2021-03-23,Second-Hand,"24 Caislean Close, An Caislean",51.88419579207018,-8.604721941977742
Maglin,Maglin Green,8,339999,2021-03-19,New Build,"8 Maglin Green, Maglin",51.88128516801954,-8.59394691502851
An Caislean,Tara,19,230000,2019-03-08,Second-Hand,"19 Tara, An Caislean",51.88419579207018,-8.604721941977742
Old Quarter,Coopers Grange,31,336683,2019-03-06,New Build,"31 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Classis Lake,The Sycamores,10,260000,2020-01-06,Second-Hand,"10 The Sycamores, Classis Lake",51.88586099008718,-8.62822296864587
An Caislean,An Caislean Way,108,302000,2021-03-19,Second-Hand,"108 An Caislean Way, An Caislean",51.88419579207018,-8.604721941977742
The Maltings,Granary Court,20,210000,2021-03-19,Second-Hand,"20 Granary Court, The Maltings",51.88503727921537,-8.591352822622822
Glendower Court,Glendower Court,61,300000,2021-03-16,Second-Hand,"61 Glendower Court, Glendower Court",51.89097713659068,-8.579260601534097
Coolroe,The Lawn,65,325000,2021-03-16,Second-Hand,"65 The Lawn, Coolroe",51.885279789132504,-8.622716969745719
