area,address,number,price,date,property_type,full_address,lat,long
Classis Lake,The Abbey,29,205000,2018-12-21,Second-Hand,"29 The Abbey, Classis Lake",51.88586099008718,-8.62822296864587
Old Quarter,Leslies Arch,33,412800,2018-12-21,New Build,"33 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Highfield Park,The Square,30,250000,2018-12-21,Second-Hand,"30 The Square, Highfield Park",51.88438631124541,-8.574891410855766
Manor Hill,Manor Hill,20,320000,2020-04-24,Second-Hand,"20 Manor Hill, Manor Hill",51.89121035709487,-8.575907457357648
Old Quarter,Leslies Arch,34,400000,2020-04-15,Second-Hand,"34 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,27,550000,2020-04-15,Second-Hand,"27 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Shalimar Court,Shalimar Court,10,220000,2020-04-14,Second-Hand,"10 Shalimar Court, Shalimar Court",51.88896130535807,-8.578969730369383
Westcourt,Westcourt,67,377000,2020-04-09,Second-Hand,"67 Westcourt, Westcourt",51.88681255417706,-8.616295628522487
Aylsbury,Aylsbury Mews,3,380000,2020-04-09,Second-Hand,"3 Aylsbury Mews, Aylsbury",51.88284449037205,-8.620440916875388
Classis Lake,The Lodge Classes Lake,13,220000,2020-04-08,Second-Hand,"13 The Lodge Classes Lake, Classis Lake",51.88586099008718,-8.62822296864587
Wyndham Downs,The Grove,11,275000,2020-04-07,Second-Hand,"11 The Grove, Wyndham Downs",51.88594295587414,-8.620296147557605
Old Quarter,The Cresent Old Fort Road,16,260000,2020-12-03,Second-Hand,"16 The Cresent Old Fort Road, Old Quarter",51.89114003596089,-8.59633561033392
Maglin,Glincool Villas,2,285000,2020-12-02,Second-Hand,"2 Glincool Villas, Maglin",51.88128516801954,-8.59394691502851
Old Quarter,Coopers Grange,1,499999,2020-12-01,New Build,"1 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Leslies Arch,107,326000,2020-12-01,Second-Hand,"107 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Greenfields,Tuain Glas,46,225000,2020-11-27,Second-Hand,"46 Tuain Glas, Greenfields",51.87941701969475,-8.620193493581136
An Caislean,An Caislean,60,255600,2020-11-26,Second-Hand,"60 An Caislean, An Caislean",51.88419579207018,-8.604721941977742
Carrigrohanebeg,The Willows,182,268000,2020-11-19,Second-Hand,"182 The Willows, Carrigrohanebeg",51.89309917070151,-8.580849757357647
Old Quarter,Millers Court,82,375000,2020-11-17,Second-Hand,"82 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Beech Park,Cranford Pines,27,290000,2020-11-13,Second-Hand,"27 Cranford Pines, Beech Park",51.884462825784524,-8.586660730369518
Greystones,Greystones,48,285000,2020-11-12,Second-Hand,"48 Greystones, Greystones",51.88708566318779,-8.572495537963082
Wyndham Downs,Wyndham Downs,8,395000,2021-07-28,Second-Hand,"8 Wyndham Downs, Wyndham Downs",51.88594295587414,-8.620296147557605
Old Quarter,Leslies Arch,43,280000,2021-07-26,Second-Hand,"43 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
An Caislean,Caislean View,158,282000,2021-07-16,Second-Hand,"158 Caislean View, An Caislean",51.88419579207018,-8.604721941977742
Parknamore,Parknamore Rise,10,320000,2021-07-15,Second-Hand,"10 Parknamore Rise, Parknamore",51.88458744794133,-8.609309161051812
Old Quarter,Millers Court,24,463000,2021-07-13,Second-Hand,"24 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
The Stables,The Stables,23,252500,2021-07-13,Second-Hand,"23 The Stables, The Stables",51.88380436406558,-8.622683203381243
The Cloisters,The Cloisters,63,330000,2021-07-08,Second-Hand,"63 The Cloisters, The Cloisters",51.88453436126935,-8.578108099687265
Old Quarter,Leslies Arch,13,425000,2021-07-06,Second-Hand,"13 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Leslies Arch,78,370000,2019-08-08,Second-Hand,"78 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Manor Hill,Manor Hill,48,355000,2019-08-06,Second-Hand,"48 Manor Hill, Manor Hill",51.89121035709487,-8.575907457357648
An Caislean,Tara,17,218000,2019-08-06,Second-Hand,"17 Tara, An Caislean",51.88419579207018,-8.604721941977742
Greenfield,Oldcourt,99,349000,2019-08-06,Second-Hand,"99 Oldcourt, Greenfield",51.88072634468435,-8.611355403381312
Highfield Park,The Avenue,3,281000,2019-08-04,Second-Hand,"3 The Avenue, Highfield Park",51.88438631124541,-8.574891410855766
Classis Lake,Fern Way,59,221000,2019-08-02,Second-Hand,"59 Fern Way, Classis Lake",51.88586099008718,-8.62822296864587
Greenfields,Woodberry,46,560000,2019-08-01,Second-Hand,"46 Woodberry, Greenfields",51.87941701969475,-8.620193493581136
Old Quarter,Leslies Arch,112,335000,2019-07-31,Second-Hand,"112 Leslies Arch, Old Quarter",51.89114003596089,-8.59633561033392
Coolroe,The Close,17,325000,2019-07-26,Second-Hand,"17 The Close, Coolroe",51.885279789132504,-8.622716969745719
Old Quarter,Cooper's Grange,20,350000,2019-07-26,New Build,"20 Cooper's Grange, Old Quarter",51.89114003596089,-8.59633561033392
Castle Road,Castle Lodge,1,320000,2019-06-17,Second-Hand,"1 Castle Lodge, Castle Road",51.88234227885883,-8.59817565735788
Limeworth,Limeworth,14,675000,2019-06-14,Second-Hand,"14 Limeworth, Limeworth",51.88244387440602,-8.582059330369558
An Caislean,An Caislean,153,255000,2019-05-31,Second-Hand,"153 An Caislean, An Caislean",51.88419579207018,-8.604721941977742
Classis Lake,Oak Avenue,1,251000,2019-05-28,Second-Hand,"1 Oak Avenue, Classis Lake",51.88586099008718,-8.62822296864587
Greenfield,Oldcourt,1,300000,2019-05-21,Second-Hand,"1 Oldcourt, Greenfield",51.88072634468435,-8.611355403381312
West Village,Hillside,1,170000,2019-05-13,Second-Hand,"1 Hillside, West Village",51.88675485217772,-8.606397553304374
The Quadrants,North East Quadrant,174,172500,2019-05-10,Second-Hand,"174 North East Quadrant, The Quadrants",51.8890702782036,-8.589706799326772
The Stables,The Stables,12,340000,2019-05-09,Second-Hand,"12 The Stables, The Stables",51.88380436406558,-8.622683203381243
An Caislean,Caislean Grove,101,255000,2019-05-03,Second-Hand,"101 Caislean Grove, An Caislean",51.88419579207018,-8.604721941977742
Old Quarter,Millers Court,55,345000,2019-05-03,New Build,"55 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange,3,474999,2019-11-25,New Build,"3 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Castlepark,Castlepark,6,199000,2019-11-20,Second-Hand,"6 Castlepark, Castlepark",51.88653927567583,-8.585310716875346
Rosewood,Rosewood Estate,84,350000,2019-11-18,Second-Hand,"84 Rosewood Estate, Rosewood",51.88865181082447,-8.575978970851866
The Cloisters,The Cloisters,88,282000,2019-11-14,Second-Hand,"88 The Cloisters, The Cloisters",51.88453436126935,-8.578108099687265
Manor Hill,Manor Hill,3,268000,2019-11-13,Second-Hand,"3 Manor Hill, Manor Hill",51.89121035709487,-8.575907457357648
An Caislean,Newgrange,16,215000,2019-11-13,Second-Hand,"16 Newgrange, An Caislean",51.88419579207018,-8.604721941977742
Coolroe,The Green,92,330000,2019-11-11,Second-Hand,"92 The Green, Coolroe",51.885279789132504,-8.622716969745719
Old Quarter,Coopers Grange,71,265000,2019-11-11,Second-Hand,"71 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
An Caislean,Caislean Drive,68,267500,2019-11-08,Second-Hand,"68 Caislean Drive, An Caislean",51.88419579207018,-8.604721941977742
Carrigrohanebeg,Cedardale,105,245000,2020-09-04,Second-Hand,"105 Cedardale, Carrigrohanebeg",51.89309917070151,-8.580849757357647
Rosewood,Rosewood Estate,44,224000,2020-09-04,Second-Hand,"44 Rosewood Estate, Rosewood",51.88865181082447,-8.575978970851866
Aylsbury,Aylsbury,41,295000,2020-09-03,Second-Hand,"41 Aylsbury, Aylsbury",51.88284449037205,-8.620440916875388
Beech Park,Beech Park,48,223000,2020-09-01,Second-Hand,"48 Beech Park, Beech Park",51.884462825784524,-8.586660730369518
The Maltings,Barley Court,12,190000,2020-08-20,Second-Hand,"12 Barley Court, The Maltings",51.88503727921537,-8.591352822622822
