dateRep,cases,deaths,country,median_age,gdp_per_capita,diabetes_prevalence,curative_beds_per_hundred_thousand,life_expectancy,testing_rate,positivity_rate,Population,cases_per_capita
10/10/2020,1181,4,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.1647315867764039
09/10/2020,1221,9,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.17031098006264958
08/10/2020,947,4,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.13209213605186662
07/10/2020,549,22,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.07657717285372205
06/10/2020,1268,5,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.17686676717398825
05/10/2020,599,4,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.08355141446152917
04/10/2020,830,6,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.11577241068959798
03/10/2020,872,1,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.12163077364015597
02/10/2020,564,3,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.07866944533606418
01/10/2020,1146,3,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.1598496176509389
30/09/2020,722,6,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.10070804881673465
29/09/2020,419,3,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.05844414467342357
28/09/2020,526,0,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.07336902171413077
27/09/2020,623,1,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.08689905043327656
26/09/2020,1071,3,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.14938825523922825
25/09/2020,688,6,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.0959655645234258
24/09/2020,661,6,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.09219947405520997
23/09/2020,747,4,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.1041951696206382
22/09/2020,593,1,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.0827145054685923
21/09/2020,609,1,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.08494626278309059
20/09/2020,757,2,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.10559001794219962
19/09/2020,821,5,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.1145170472001927
18/09/2020,922,0,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.12860501524796306
17/09/2020,704,1,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.09819732183792408
16/09/2020,860,0,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.11995695565428226
15/09/2020,549,1,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.07657717285372205
14/09/2020,384,2,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.05356217554795859
13/09/2020,495,4,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.06904499191729037
12/09/2020,1005,2,Austria,0.6698113207547172,0.3549296755721989,0.4672754946727549,0.7902415074930446,0.7626321974148063,0.18559201915501927,0.23677910050583023,8877067.0,0.14018225631692285
