,address,day_count,difference
0,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",21,-1256.0
1,"104 Caisleán Grove, Ballincollig, Co. Cork",21,1126.0
2,"126 Caisleán Way, Ballincollig, Co. Cork",21,4035.0
3,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",21,-3136.0
4,"15 Glincool Grove, Ballincollig, Co. Cork",21,2633.0
5,"17 Coolroe Heights, Ballincollig, Co. Cork",21,847.0
6,"194 The Willows, Ballincollig, Co. Cork",21,3827.0
7,"2 Glendower Court, Ballincollig, Co. Cork",21,-2452.0
8,"2 The Stables, Coolroe, Ballincollig, Co. Cork",21,614.0
9,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",21,891.0
10,"21 Leesdale Drive, Ballincollig, Co. Cork",21,2829.0
11,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",21,-761.0
12,"25 Innishmore Drive, Ballincollig, Co. Cork",21,3593.0
13,"36 Castlepark, Ballincollig, Co. Cork",21,-3797.0
14,"36 Westcourt Heights, Ballincollig, Co. Cork",21,1020.0
15,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",21,-2570.0
16,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",21,-47984.0
17,"50 Old Court, Greenfields, Ballincollig, Co. Cork",21,-497.0
18,"50 The Cloisters, Ballincollig, Co. Cork",21,935.0
19,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",21,1849.0
20,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",21,-1256.0
21,"9 Highfield Crescent, Ballincollig, Co. Cork",21,-140.0
22,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",21,-1001.0
23,"94 Castlepark, Ballincollig, Co. Cork",21,2641.0
24,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",21,1643.0
25,"Farran Ovens, Ballincollig, Co. Cork",21,1101.0
26,"Fatima, Poulavone, Ballincollig, Co. Cork",21,673.0
27,"The Bungalow, Coolroe, Ballincollig, Co. Cork",21,-303.0
28,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",21,1861.0
