,address,area,baths,beds,lat,link,long,popularity,price,property_type,size,number,matcher,address_sold,full_address,price_sold,date,price_difference,annual_avg_price_difference
20,27 Cranford Pines,Beech Park,3.0,3.0,51.88446282578453,Mitula,-8.586660730369518,0,295000,None,0,27,Cranford,Cranford Pines,"27 Cranford Pines, Beech Park",290000.0,2020-11-13,-0.01694915254237288,0.0029641507319180735
21,7 Highfield Avenue Highfield Park,Highfield,2.0,3.0,51.88483134751022,Mitula,-8.573114016875365,0,295000,None,0,7,Highfield,Highfield Park,"7 Highfield Park, Highfield",317000.0,2021-04-27,0.07457627118644068,0.020885362824269477
22,9 Rosewood Estate,Rosewood,3.0,3.0,51.88865181082447,Mitula,-8.575978970851866,0,295000,None,0,9,Rosewood,Rosewood,"9 Rosewood, Rosewood",320000.0,2021-03-01,0.0847457627118644,0.020885362824269477
23,57 Church View,Town Center,2.0,3.0,51.8878563321983,Mitula,-8.600737381727024,0,295000,None,0,57,Church,Church View,"57 Church View, Town Center",321000.0,2021-07-02,0.08813559322033898,0.020885362824269477
24,148 Leslies Arch  Old Quarter  Ballincollig  Co. Cork,Old Quarter,3.0,3.0,51.89120011526423,None,-8.597460712163135,0,295000, End of Terrace House,0,148,Leslies,Leslies Arch,"148 Leslies Arch, Old Quarter",315000.0,2019-09-23,0.06779661016949153,-0.013652709601293585
25,108 An Caislean,An Caislean,2.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,290000,None,0,108,Caisleán,An Caislean Way,"108 An Caislean Way, An Caislean",302000.0,2021-03-19,0.041379310344827586,0.020885362824269477
26,114 Rosewood Est,Rosewood,3.0,3.0,51.88865181082447,Mitula,-8.575978970851866,0,285000,None,0,114,Rosewood,Rosewood Estate,"114 Rosewood Estate, Rosewood",280000.0,2020-12-14,-0.017543859649122806,0.0029641507319180735
27,10 Parknamore Rise,Parknamore,2.0,3.0,51.884587447941335,Mitula,-8.609309161051812,0,285000,None,0,10,Parknamore,Parknamore Rise,"10 Parknamore Rise, Parknamore",320000.0,2021-07-15,0.12280701754385964,0.020885362824269477
28,59 Castle Avenue Muskerry Estate  Ballincollig  Co. Cork,Muskerry Estate,2.0,4.0,51.885514844369936,None,-8.596310161258103,0,280000, Semi-Detached House,0,59,Castle,Castle Avenue,"59 Castle Avenue, Muskerry Estate",270000.0,2019-10-23,-0.03571428571428571,-0.013652709601293585
29,20 Cranford Pines,Beech Park,2.0,3.0,51.88446282578453,Mitula,-8.586660730369518,0,280000,None,0,20,Cranford,Cranford Pines,"20 Cranford Pines, Beech Park",290000.0,2020-12-21,0.03571428571428571,0.0029641507319180735
30,118 An Caislean,An Caislean,3.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,280000,None,0,118,Caisleán,An Caislean Way,"118 An Caislean Way, An Caislean",270000.0,2021-01-28,-0.03571428571428571,0.020885362824269477
31,102 The Cloisters  Ballincollig  Co. Cork,The Cloisters,2.0,3.0,51.88453436126935,None,-8.578108099687265,0,280000, Semi-Detached House,0,102,Cloisters,The Cloisters,"102 The Cloisters, The Cloisters",287000.0,2019-08-14,0.025,-0.013652709601293585
32,2 The Cloisters  Ballincollig  Co. Cork,The Cloisters,2.0,3.0,51.88453436126935,None,-8.578108099687265,0,275000, Semi-Detached House,0,2,Cloisters,The Cloisters,"2 The Cloisters, The Cloisters",270000.0,2019-10-04,-0.01818181818181818,-0.013652709601293585
33,182 The Willows Carrigalee,Carrigrohanebeg,3.0,3.0,51.893099170701504,Mitula,-8.580849757357647,0,275000,None,0,182,Willows,The Willows,"182 The Willows, Carrigrohanebeg",268000.0,2020-11-19,-0.025454545454545455,0.0029641507319180735
34,23 Parknamore Rise  Ballincollig  Co. Cork,Parknamore,1.0,3.0,51.884587447941335,None,-8.609309161051812,0,270000, Semi-Detached House,0,23,Parknamore,Parknamore Rise,"23 Parknamore Rise, Parknamore",265000.0,2019-07-10,-0.018518518518518517,-0.013652709601293585
35,21 Parknamore Rise  Ballincollig  Co. Cork,Parknamore,2.0,3.0,51.884587447941335,None,-8.609309161051812,0,270000, Detached House,0,21,Parknamore,Parknamore Rise,"21 Parknamore Rise, Parknamore",266200.0,2019-07-18,-0.014074074074074074,-0.013652709601293585
36,158 An Caislean View,An Caislean,2.0,3.0,51.88419579207018,Mitula,-8.604721941977742,0,265000,None,0,158,Caisleán,Caislean View,"158 Caislean View, An Caislean",282000.0,2021-07-16,0.06415094339622641,0.020885362824269477
37,105 Cedardale  Ballincollig  Co. Cork,Carrigrohanebeg,1.0,4.0,51.893099170701504,None,-8.580849757357647,0,265000, Detached House,0,105,Cedardale,Cedardale,"105 Cedardale, Carrigrohanebeg",245000.0,2020-09-04,-0.07547169811320754,0.0029641507319180735
38,199 The Willows,Carrigrohanebeg,2.0,3.0,51.893099170701504,Mitula,-8.580849757357647,0,265000,None,0,199,Willows,The Willows,"199 The Willows, Carrigrohanebeg",261500.0,2021-05-07,-0.013207547169811321,0.020885362824269477
39,33 The Lawn  Coolroe Meadows  Ballincollig  Co. Cork,Coolroe,0.0,3.0,51.8852797891325,None,-8.622716969745719,0,265000, Terraced House,0,33,Lawn,The Lawn,"33 The Lawn, Coolroe",267500.0,2019-10-10,0.009433962264150943,-0.013652709601293585
40,21 Church View Station Road,Town Center,1.0,3.0,51.8878563321983,Mitula,-8.600737381727024,0,260000,None,0,21,Church,Church View,"21 Church View, Town Center",280000.0,2020-09-24,0.07692307692307693,0.0029641507319180735
41,77 An Caislean Drive  Ballincollig  Co. Cork,An Caislean,3.0,3.0,51.88419579207018,None,-8.604721941977742,0,260000, Semi-Detached House,0,77,Caisleán,An Caislean,"77 An Caislean, An Caislean",255000.0,2019-06-28,-0.019230769230769232,-0.013652709601293585
