,address,day_count,difference
0,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",17,-1256.0
1,"104 Caisleán Grove, Ballincollig, Co. Cork",17,910.0
2,"126 Caisleán Way, Ballincollig, Co. Cork",17,3502.0
3,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",17,890.0
4,"15 Glincool Grove, Ballincollig, Co. Cork",17,2360.0
5,"17 Coolroe Heights, Ballincollig, Co. Cork",17,672.0
6,"194 The Willows, Ballincollig, Co. Cork",17,3307.0
7,"2 Glendower Court, Ballincollig, Co. Cork",17,-2742.0
8,"2 The Stables, Coolroe, Ballincollig, Co. Cork",17,738.0
9,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",17,671.0
10,"21 Leesdale Drive, Ballincollig, Co. Cork",17,2364.0
11,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",17,-983.0
12,"25 Innishmore Drive, Ballincollig, Co. Cork",17,3209.0
13,"36 Castlepark, Ballincollig, Co. Cork",17,1587.0
14,"36 Westcourt Heights, Ballincollig, Co. Cork",17,785.0
15,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",17,-2570.0
16,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",17,-47984.0
17,"50 Old Court, Greenfields, Ballincollig, Co. Cork",17,-838.0
18,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",17,-3203.0
19,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",17,-1496.0
20,"9 Highfield Crescent, Ballincollig, Co. Cork",17,-398.0
21,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",17,-1298.0
22,"94 Castlepark, Ballincollig, Co. Cork",17,1984.0
23,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",17,1351.0
24,"Farran Ovens, Ballincollig, Co. Cork",17,864.0
25,"Fatima, Poulavone, Ballincollig, Co. Cork",17,511.0
26,"The Bungalow, Coolroe, Ballincollig, Co. Cork",17,-524.0
27,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",17,1520.0
