,address,day_count,difference
0,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",34,-1256.0
1,"104 Caisleán Grove, Ballincollig, Co. Cork",34,1692.0
2,"126 Caisleán Way, Ballincollig, Co. Cork",34,5361.0
3,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",34,-3136.0
4,"15 Glincool Grove, Ballincollig, Co. Cork",34,3448.0
5,"17 Coolroe Heights, Ballincollig, Co. Cork",34,1451.0
6,"17 Manor Lawn, Grange Manor, Ovens, Co. Cork",34,1949.0
7,"194 The Willows, Ballincollig, Co. Cork",34,5257.0
8,"2 Glendower Court, Ballincollig, Co. Cork",34,-1694.0
9,"2 The Stables, Coolroe, Ballincollig, Co. Cork",34,2038.0
10,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",34,1497.0
11,"21 Leesdale Drive, Ballincollig, Co. Cork",34,3822.0
12,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",34,-88.0
13,"25 Innishmore Drive, Ballincollig, Co. Cork",34,4681.0
14,"36 Castlepark, Ballincollig, Co. Cork",34,-3797.0
15,"36 Westcourt Heights, Ballincollig, Co. Cork",34,-5030.0
16,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",34,-2570.0
17,"43 The Close, Coolroe Meadows, Ballincollig, Co. Cork",34,1477.0
18,"46 Oaklands, Ballincollig, Co. Cork",34,1426.0
19,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",34,-47984.0
20,"50 Old Court, Greenfields, Ballincollig, Co. Cork",34,324.0
21,"50 The Cloisters, Ballincollig, Co. Cork",34,1789.0
22,"7 The Stables, Coolroe, Ballincollig, Co. Cork",34,4662.0
23,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",34,2914.0
24,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",34,-2112.0
25,"9 Highfield Crescent, Ballincollig, Co. Cork",34,529.0
26,"9 Rosewood, Ballincollig, Co. Cork",34,852.0
27,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",34,-223.0
28,"94 Castlepark, Ballincollig, Co. Cork",34,3956.0
29,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",34,-2589.0
30,"Farran Ovens, Ballincollig, Co. Cork",34,1895.0
31,"Fatima, Poulavone, Ballincollig, Co. Cork",34,1098.0
32,"Padua, 10 Glincool Park, Ballincollig, Co. Cork",34,1490.0
33,"The Bungalow, Coolroe, Ballincollig, Co. Cork",34,326.0
34,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",34,2859.0
