,address,day_count,difference
0,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",27,-1256.0
1,"104 Caisleán Grove, Ballincollig, Co. Cork",27,1396.0
2,"126 Caisleán Way, Ballincollig, Co. Cork",27,4715.0
3,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",27,-3136.0
4,"15 Glincool Grove, Ballincollig, Co. Cork",27,3041.0
5,"17 Coolroe Heights, Ballincollig, Co. Cork",27,1120.0
6,"17 Manor Lawn, Grange Manor, Ovens, Co. Cork",27,1241.0
7,"194 The Willows, Ballincollig, Co. Cork",27,4511.0
8,"2 Glendower Court, Ballincollig, Co. Cork",27,-2075.0
9,"2 The Stables, Coolroe, Ballincollig, Co. Cork",27,1491.0
10,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",27,1189.0
11,"21 Leesdale Drive, Ballincollig, Co. Cork",27,3324.0
12,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",27,-421.0
13,"25 Innishmore Drive, Ballincollig, Co. Cork",27,4147.0
14,"36 Castlepark, Ballincollig, Co. Cork",27,-3797.0
15,"36 Westcourt Heights, Ballincollig, Co. Cork",27,-5030.0
16,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",27,-2570.0
17,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",27,-47984.0
18,"50 Old Court, Greenfields, Ballincollig, Co. Cork",27,-72.0
19,"50 The Cloisters, Ballincollig, Co. Cork",27,1395.0
20,"7 The Stables, Coolroe, Ballincollig, Co. Cork",27,2588.0
21,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",27,2384.0
22,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",27,-960.0
23,"9 Highfield Crescent, Ballincollig, Co. Cork",27,175.0
24,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",27,-602.0
25,"94 Castlepark, Ballincollig, Co. Cork",27,3297.0
26,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",27,-2589.0
27,"Farran Ovens, Ballincollig, Co. Cork",27,1507.0
28,"Fatima, Poulavone, Ballincollig, Co. Cork",27,869.0
29,"Padua, 10 Glincool Park, Ballincollig, Co. Cork",27,383.0
30,"The Bungalow, Coolroe, Ballincollig, Co. Cork",27,13.0
31,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",27,2343.0
