,address,area,baths,beds,lat,link,long,popularity,price,property_type,size,number,matcher,address_sold,full_address,price_sold,date,price_difference,annual_avg_price_difference
0,36 Limeworth,Maglin,4.0,5.0,51.88135112776452,Mitula,-8.59523805920491,0,745000,None,0,36,Limeworth,"36 Limeworth, Carriganarra","36 36 Limeworth, Carriganarra, Maglin",500422.0,2013-07-09,-0.3282926174496644,-0.4298609800101032
1,106 Millers Court Old Quarter,Old Quarter,2.0,3.0,51.89120011526423,Mitula,-8.597460712163135,0,640000,None,0,106,Millers,"106 Millers Court, Old Quarter, Ballincollig","106 106 Millers Court, Old Quarter, Ballincollig, Old Quarter",427312.0,2018-02-28,-0.332325,-0.23702446356275303
2,106 Millers Court Old Quarter,Old Quarter,2.0,3.0,51.89120011526423,Mitula,-8.597460712163135,0,640000,None,0,106,Millers,"106  Millers  Court, Old Quarter, Ballincollig","106 106  Millers  Court, Old Quarter, Ballincollig, Old Quarter",640000.0,2021-05-31,0.0,0.02305194436801918
3,42 Woodberry Greenfields,Greenfield,3.0,3.0,51.880726344684355,Mitula,-8.611355403381314,0,595000,None,0,42,Woodberry,"42 Woodberry Greenfields, Ballincollig, Cork","42 42 Woodberry Greenfields, Ballincollig, Cork, Greenfield",480000.0,2014-07-04,-0.19327731092436976,-0.23056722689075632
4,42 Woodberry Greenfields,Greenfield,3.0,3.0,51.880726344684355,Mitula,-8.611355403381314,0,595000,None,0,42,Woodberry,"42 Woodberry Greenfields, Ballincollig, Cork","42 42 Woodberry Greenfields, Ballincollig, Cork, Greenfield",660000.0,2021-02-24,0.1092436974789916,0.02305194436801918
5,Rowan House  Poulavone  Ballincollig  Co. Cork,Town Center,2.0,5.0,51.8878563321983,None,-8.600737381727024,0,480000, Detached House,0,Rowan,House,"Rowan House, Poulavone, Ballincollig","Rowan Rowan House, Poulavone, Ballincollig, Town Center",465000.0,2021-03-30,-0.03125,0.02305194436801918
6,11 The Avenue Coolroe Heights,Coolroe,2.0,3.0,51.8852797891325,Mitula,-8.622716969745719,0,475000,None,0,11,Avenue,"11 The Avenue, Coolroe Heights, Ballincollig","11 11 The Avenue, Coolroe Heights, Ballincollig, Coolroe",374449.0,2018-10-17,-0.2116863157894737,-0.23702446356275303
7,78 Leslies Arch Old Quarter Ballincollig Co Cork P31 N603,Old Quarter,3.0,4.0,51.89120011526423,Mitula,-8.597460712163135,0,440000,None,0,78,Leslies,"78 Leslies Arch, Old Quarter, Ballincollig","78 78 Leslies Arch, Old Quarter, Ballincollig, Old Quarter",370000.0,2019-08-08,-0.1590909090909091,-0.01652524619960608
8,5 Old Court  Greenfields  Ballincollig  Co. Cork,Greenfield,3.0,4.0,51.880726344684355,None,-8.611355403381314,0,440000, Detached House,0,5,Old,"5 Old Court, Greenfields, Ballincollig","5 5 Old Court, Greenfields, Ballincollig, Greenfield",425000.0,2019-11-04,-0.03409090909090909,-0.01652524619960608
9,37 Millers Court Old Quarter,Old Quarter,4.0,5.0,51.89120011526423,Mitula,-8.597460712163135,0,410000,None,0,37,Millers,"37  Millers Court, Old Quarter, Ballincollig","37 37  Millers Court, Old Quarter, Ballincollig, Old Quarter",259912.0,2017-05-18,-0.36606829268292684,-0.1022154363092225
10,4 Aylsbury Lawn  Ballincollig  Co. Cork,Aylsbury,3.0,5.0,51.88284449037205,None,-8.620440916875387,0,385000, Detached House,0,4,Aylsbury,"4 Aylsbury Lawn, Ballincollig, Cork","4 4 Aylsbury Lawn, Ballincollig, Cork, Aylsbury",360000.0,2019-08-12,-0.06493506493506493,-0.01652524619960608
11,12 The Stables Coolroe,Coolroe,3.0,2.0,51.8852797891325,Mitula,-8.622716969745719,0,380000,None,0,12,Stables,"12 The Stables, Ballincollig, Cork","12 12 The Stables, Ballincollig, Cork, Coolroe",340000.0,2019-05-09,-0.10526315789473684,-0.01652524619960608
12,41 Millers Court Old Quarter,Old Quarter,2.0,3.0,51.89120011526423,Mitula,-8.597460712163135,0,380000,None,0,41,Millers,"41 Millers Court, Old Quarter, Ballincollig","41 41 Miller'S Court, Old Quarter, Ballincollig, Old Quarter",255506.0,2017-05-23,-0.3276157894736842,-0.1022154363092225
13,41 Millers Court Old Quarter,Old Quarter,2.0,3.0,51.89120011526423,Mitula,-8.597460712163135,0,380000,None,0,41,Millers,"41 Millers Court, Old Quarter, Ballincollig","41 41 Miller'S Court, Old Quarter, Ballincollig, Old Quarter",402000.0,2021-07-30,0.05789473684210526,0.02305194436801918
