,address,day_count,difference
0,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",15,-1256.0
1,"104 Caisleán Grove, Ballincollig, Co. Cork",15,784.0
2,"126 Caisleán Way, Ballincollig, Co. Cork",15,3010.0
3,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",15,780.0
4,"15 Glincool Grove, Ballincollig, Co. Cork",15,2222.0
5,"17 Coolroe Heights, Ballincollig, Co. Cork",15,574.0
6,"194 The Willows, Ballincollig, Co. Cork",15,3029.0
7,"2 Glendower Court, Ballincollig, Co. Cork",15,-2958.0
8,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",15,571.0
9,"21 Leesdale Drive, Ballincollig, Co. Cork",15,2131.0
10,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",15,-1125.0
11,"25 Innishmore Drive, Ballincollig, Co. Cork",15,2953.0
12,"36 Castlepark, Ballincollig, Co. Cork",15,1432.0
13,"36 Westcourt Heights, Ballincollig, Co. Cork",15,657.0
14,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",15,-2570.0
15,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",15,-47984.0
16,"50 Old Court, Greenfields, Ballincollig, Co. Cork",15,-1023.0
17,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",15,1313.0
18,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",15,-1637.0
19,"9 Highfield Crescent, Ballincollig, Co. Cork",15,-555.0
20,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",15,-1507.0
21,"94 Castlepark, Ballincollig, Co. Cork",15,1378.0
22,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",15,1207.0
23,"Farran Ovens, Ballincollig, Co. Cork",15,763.0
24,"Fatima, Poulavone, Ballincollig, Co. Cork",15,447.0
25,"The Bungalow, Coolroe, Ballincollig, Co. Cork",15,-645.0
26,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",15,1305.0
