,address,day_count,difference
0,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",19,-1256.0
1,"104 Caisleán Grove, Ballincollig, Co. Cork",19,1018.0
2,"126 Caisleán Way, Ballincollig, Co. Cork",19,3740.0
3,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",19,986.0
4,"15 Glincool Grove, Ballincollig, Co. Cork",19,2478.0
5,"17 Coolroe Heights, Ballincollig, Co. Cork",19,752.0
6,"194 The Willows, Ballincollig, Co. Cork",19,3579.0
7,"2 Glendower Court, Ballincollig, Co. Cork",19,-2602.0
8,"2 The Stables, Coolroe, Ballincollig, Co. Cork",19,1280.0
9,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",19,772.0
10,"21 Leesdale Drive, Ballincollig, Co. Cork",19,2624.0
11,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",19,-869.0
12,"25 Innishmore Drive, Ballincollig, Co. Cork",19,3405.0
13,"36 Castlepark, Ballincollig, Co. Cork",19,-3797.0
14,"36 Westcourt Heights, Ballincollig, Co. Cork",19,907.0
15,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",19,-2570.0
16,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",19,-47984.0
17,"50 Old Court, Greenfields, Ballincollig, Co. Cork",19,-648.0
18,"50 The Cloisters, Ballincollig, Co. Cork",19,682.0
19,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",19,1652.0
20,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",19,-1373.0
21,"9 Highfield Crescent, Ballincollig, Co. Cork",19,-253.0
22,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",19,-1149.0
23,"94 Castlepark, Ballincollig, Co. Cork",19,2365.0
24,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",19,1517.0
25,"Farran Ovens, Ballincollig, Co. Cork",19,993.0
26,"Fatima, Poulavone, Ballincollig, Co. Cork",19,593.0
27,"The Bungalow, Coolroe, Ballincollig, Co. Cork",19,-402.0
28,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",19,1688.0
