,address,day_count,difference
0,"1 Gleann Fia, Bawnnafinny, Tower, Co. Cork",14,2410.0
1,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",14,-1256.0
2,"104 Caisleán Grove, Ballincollig, Co. Cork",14,731.0
3,"126 Caisleán Way, Ballincollig, Co. Cork",14,2866.0
4,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",14,728.0
5,"15 Glincool Grove, Ballincollig, Co. Cork",14,2147.0
6,"17 Coolroe Heights, Ballincollig, Co. Cork",14,536.0
7,"194 The Willows, Ballincollig, Co. Cork",14,2900.0
8,"2 Glendower Court, Ballincollig, Co. Cork",14,-3059.0
9,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",14,531.0
10,"21 Leesdale Drive, Ballincollig, Co. Cork",14,2027.0
11,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",14,-1171.0
12,"25 Innishmore Drive, Ballincollig, Co. Cork",14,2825.0
13,"36 Castlepark, Ballincollig, Co. Cork",14,1371.0
14,"36 Westcourt Heights, Ballincollig, Co. Cork",14,622.0
15,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",14,-2570.0
16,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",14,-47984.0
17,"50 Old Court, Greenfields, Ballincollig, Co. Cork",14,-1085.0
18,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",14,1224.0
19,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",14,-1690.0
20,"9 Highfield Crescent, Ballincollig, Co. Cork",14,-616.0
21,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",14,-1584.0
22,"94 Castlepark, Ballincollig, Co. Cork",14,1039.0
23,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",14,1149.0
24,"Farran Ovens, Ballincollig, Co. Cork",14,698.0
25,"Fatima, Poulavone, Ballincollig, Co. Cork",14,406.0
26,"The Bungalow, Coolroe, Ballincollig, Co. Cork",14,-706.0
27,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",14,1218.0
