,address,day_count,difference
0,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",20,-1256.0
1,"104 Caisleán Grove, Ballincollig, Co. Cork",20,1068.0
2,"126 Caisleán Way, Ballincollig, Co. Cork",20,3905.0
3,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",20,-3136.0
4,"15 Glincool Grove, Ballincollig, Co. Cork",20,2558.0
5,"17 Coolroe Heights, Ballincollig, Co. Cork",20,810.0
6,"194 The Willows, Ballincollig, Co. Cork",20,3717.0
7,"2 Glendower Court, Ballincollig, Co. Cork",20,-2513.0
8,"2 The Stables, Coolroe, Ballincollig, Co. Cork",20,398.0
9,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",20,840.0
10,"21 Leesdale Drive, Ballincollig, Co. Cork",20,2727.0
11,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",20,-805.0
12,"25 Innishmore Drive, Ballincollig, Co. Cork",20,3507.0
13,"36 Castlepark, Ballincollig, Co. Cork",20,-3797.0
14,"36 Westcourt Heights, Ballincollig, Co. Cork",20,957.0
15,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",20,-2570.0
16,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",20,-47984.0
17,"50 Old Court, Greenfields, Ballincollig, Co. Cork",20,-572.0
18,"50 The Cloisters, Ballincollig, Co. Cork",20,839.0
19,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",20,1753.0
20,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",20,-1307.0
21,"9 Highfield Crescent, Ballincollig, Co. Cork",20,-199.0
22,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",20,-1077.0
23,"94 Castlepark, Ballincollig, Co. Cork",20,2514.0
24,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",20,1579.0
25,"Farran Ovens, Ballincollig, Co. Cork",20,1052.0
26,"Fatima, Poulavone, Ballincollig, Co. Cork",20,631.0
27,"The Bungalow, Coolroe, Ballincollig, Co. Cork",20,-348.0
28,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",20,1769.0
