,address,day_count,difference
0,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",9,-1256.0
1,"104 Caisleán Grove, Ballincollig, Co. Cork",9,444.0
2,"126 Caisleán Way, Ballincollig, Co. Cork",9,1752.0
3,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",9,465.0
4,"15 Glincool Grove, Ballincollig, Co. Cork",9,1665.0
5,"17 Coolroe Heights, Ballincollig, Co. Cork",9,318.0
6,"194 The Willows, Ballincollig, Co. Cork",9,1999.0
7,"2 Glendower Court, Ballincollig, Co. Cork",9,334.0
8,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",9,277.0
9,"21 Leesdale Drive, Ballincollig, Co. Cork",9,1415.0
10,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",9,348.0
11,"25 Innishmore Drive, Ballincollig, Co. Cork",9,2133.0
12,"36 Castlepark, Ballincollig, Co. Cork",9,807.0
13,"36 Westcourt Heights, Ballincollig, Co. Cork",9,357.0
14,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",9,697.0
15,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",9,-47984.0
16,"50 Old Court, Greenfields, Ballincollig, Co. Cork",9,522.0
17,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",9,742.0
18,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",9,412.0
19,"9 Highfield Crescent, Ballincollig, Co. Cork",9,662.0
20,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",9,358.0
21,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",9,695.0
22,"Farran Ovens, Ballincollig, Co. Cork",9,425.0
23,"Fatima, Poulavone, Ballincollig, Co. Cork",9,234.0
24,"The Bungalow, Coolroe, Ballincollig, Co. Cork",9,296.0
25,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",9,740.0
