,address,day_count,difference
0,"1 Gleann Fia, Bawnnafinny, Tower, Co. Cork",12,1702.0
1,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",12,-1256.0
2,"104 Caisleán Grove, Ballincollig, Co. Cork",12,616.0
3,"126 Caisleán Way, Ballincollig, Co. Cork",12,2536.0
4,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",12,642.0
5,"15 Glincool Grove, Ballincollig, Co. Cork",12,1961.0
6,"17 Coolroe Heights, Ballincollig, Co. Cork",12,462.0
7,"194 The Willows, Ballincollig, Co. Cork",12,2655.0
8,"2 Glendower Court, Ballincollig, Co. Cork",12,-3307.0
9,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",12,447.0
10,"21 Leesdale Drive, Ballincollig, Co. Cork",12,1843.0
11,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",12,-1286.0
12,"25 Innishmore Drive, Ballincollig, Co. Cork",12,2585.0
13,"36 Castlepark, Ballincollig, Co. Cork",12,1155.0
14,"36 Westcourt Heights, Ballincollig, Co. Cork",12,532.0
15,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",12,-2570.0
16,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",12,-47984.0
17,"50 Old Court, Greenfields, Ballincollig, Co. Cork",12,-1261.0
18,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",12,1071.0
19,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",12,-1821.0
20,"9 Highfield Crescent, Ballincollig, Co. Cork",12,-767.0
21,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",12,-1756.0
22,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",12,979.0
23,"Farran Ovens, Ballincollig, Co. Cork",12,582.0
24,"Fatima, Poulavone, Ballincollig, Co. Cork",12,336.0
25,"The Bungalow, Coolroe, Ballincollig, Co. Cork",12,-853.0
26,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",12,1040.0
