country,cases,deaths,date,median_age,gdp_per_capita,diabetes_prevalence,curative_beds_per_hundred_thousand,life_expectancy,testing_rate,positivity_rate,Population,cases_per_capita,deaths_per_capita,severity_ratio
Slovenia,6,2,2020-05-18,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.00031054365051440025,1e-06,1.52544293345351
Slovenia,3,2,2020-05-25,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.00015527182525720013,1e-06,1.5248434220548859
Slovenia,4,2,2020-06-01,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.00020702910034293352,1e-06,1.5250432591877605
Slovenia,12,0,2020-06-08,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.0006210873010288005,0.0,1.526641956250758
Slovenia,10,1,2020-06-15,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.0005175727508573338,0.0,1.5262422819850088
Slovenia,25,0,2020-06-22,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.0012939318771433344,0.0,1.529239838978129
Slovenia,61,2,2020-06-29,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.003157193780229736,1e-06,1.5364339757616179
Slovenia,119,0,2020-07-06,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.006159115735202272,0.0,1.5480245294683501
Slovenia,141,0,2020-07-13,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.007297775787088407,0.0,1.552420946391593
Slovenia,105,0,2020-07-20,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.0054345138840020055,0.0,1.5452268096081043
Slovenia,136,4,2020-07-27,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.007038989411659739,2e-06,1.5514217607272196
Slovenia,98,2,2020-08-03,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.005072212958401871,1e-06,1.5438279496779814
Slovenia,69,3,2020-08-10,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.003571251980915603,1e-06,1.5380326728246154
Slovenia,167,4,2020-08-17,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.008643464939317475,2e-06,1.557616711846335
Slovenia,235,3,2020-08-24,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.012162959645147344,1e-06,1.571205636881814
Slovenia,214,1,2020-08-31,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.011076056868346944,0.0,1.5670090570914454
Slovenia,309,2,2020-09-07,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.015992998001491614,1e-06,1.585993584714541
Slovenia,528,1,2020-09-14,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.027327841245267225,0.0,1.629757916814098
Slovenia,718,2,2020-09-21,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.03716172351155656,1e-06,1.6677269720602887
Slovenia,930,3,2020-09-28,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.04813426582973204,1e-06,1.7100924442297232
Slovenia,1148,4,2020-10-05,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.05941735179842192,2e-06,1.7536569391964059
Slovenia,2167,2,2020-10-12,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.11215801511078423,1e-06,1.9572909775957141
Slovenia,4479,19,2020-10-19,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.2318208351089998,9e-06,2.4193144288019965
Slovenia,9806,22,2020-10-26,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.5075318394907016,1.1e-05,3.4838468356254686
Slovenia,12699,53,2020-11-02,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.6572656363137283,2.5e-05,4.061975661031945
Slovenia,9512,146,2020-11-09,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.4923152006154959,7e-05,3.425094718560309
Slovenia,9881,129,2020-11-16,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.5114136351221314,6.2e-05,3.4988346205910696
Slovenia,10266,152,2020-11-23,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.5313401860301389,7.3e-05,3.5757719167478252
Slovenia,10073,264,2020-11-30,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.5213510319385923,0.000126,3.5372033501030105
Slovenia,10424,331,2020-12-07,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.5395178354936847,0.000159,3.607346183742026
Slovenia,10509,954,2020-12-14,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.5439172038759721,0.000457,3.6243323400363754
Slovenia,9585,156,2020-12-21,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.49609348169675443,7.5e-05,3.439682829260162
Slovenia,9428,216,2020-12-28,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.4879675895082943,0.000103,3.4083083993988357
Slovenia,13855,256,2021-01-04,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.717097046312836,0.000123,4.292987386635086
Slovenia,9721,224,2021-01-11,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.5031324711084142,0.000107,3.46686067933112
Slovenia,8705,210,2021-01-18,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.4505470796213091,0.000101,3.2638261523304353
Slovenia,8334,171,2021-01-25,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.43134513056450197,8.2e-05,3.189686576033925
Slovenia,7527,139,2021-02-01,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.3895770095703151,6.7e-05,3.0284180098040503
Slovenia,5482,86,2021-02-08,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.2837333820199904,4.1e-05,2.61975107307531
Slovenia,5285,80,2021-02-15,0.6792452830188687,0.1695514889600373,0.604261796042618,0.5065812545297267,0.7367802585193886,0.22736786490825223,0.15384615384615385,2087946.0,0.2735371988281009,3.8e-05,2.580383157898996
Spain,0,0,2020-01-06,0.7735849056603774,0.20747703832988323,0.5920852359208524,0.12372290931194907,1.0,0.041250939830525704,0.42857142857142855,47076781.0,0.0,0.0,3.2820986425735663
Spain,0,0,2020-01-13,0.7735849056603774,0.20747703832988323,0.5920852359208524,0.12372290931194907,1.0,0.041250939830525704,0.42857142857142855,47076781.0,0.0,0.0,3.2820986425735663
Spain,0,0,2020-01-20,0.7735849056603774,0.20747703832988323,0.5920852359208524,0.12372290931194907,1.0,0.041250939830525704,0.42857142857142855,47076781.0,0.0,0.0,3.2820986425735663
