address,baths,beds,date,link,popularity,price,property_type,size
"21 Leesdale Drive, Ballincollig, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,1840,260000,Semi-D,81
"Grange Hill, Ovens, Co. Cork",1,3,2021-07-26,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,529,380000,Detached,105
"9 Highfield Crescent, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,1156,370000,Semi-D,113
"25 Leeview, Ballincollig, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3472932,1521,280000,Semi-D,89
"Altona, Kerry Pike, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,3418,395000,Detached,158
"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",3,4,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,2570,360000,Semi-D,107
"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,2589,380000,Bungalow,134
"50 Old Court, Greenfields, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3465112,1808,350000,Semi-D,87
"15 Orchard Lane, Aherla, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/terraced-house-15-orchard-lane-aherla-co-cork/3464921,1324,275000,Terrace,87
"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,3203,345000,Semi-D,103
"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3453894,2112,345000,Semi-D,106
"36 Castlepark, Ballincollig, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,3797,225000,Terrace,89
"104 Caisleán Grove, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,2471,279000,Semi-D,89
"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3,3,2021-07-26,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,3136,325000,End of Terrace,108
