dateRep,cases,deaths,country,median_age,gdp_per_capita,diabetes_prevalence,curative_beds_per_hundred_thousand,life_expectancy,testing_rate,positivity_rate,Population,cases_per_capita,deaths_per_capita,severity_ratio
05/10/2020,11392,229,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.06360083584023557,0.0118,4.486940823899449
28/09/2020,9892,283,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.05522642803121578,0.0146,4.4366464818472515
21/09/2020,9286,272,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.051843167276371796,0.0141,4.416327567658165
14/09/2020,8481,270,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.047348901752197844,0.0139,4.38933627075682
07/09/2020,8229,315,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.04594200124028252,0.0163,4.380886821292051
31/08/2020,8260,306,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.04611507233500226,0.0158,4.381926237694463
24/08/2020,8064,281,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.045020816381290345,0.0145,4.375354443666309
17/08/2020,8693,291,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.04853248472253931,0.015,4.396444537766863
10/08/2020,8582,287,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.047912778544671845,0.0148,4.392722756455001
03/08/2020,8388,226,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.046829688468038616,0.0117,4.386218021549584
27/07/2020,7340,161,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.040978768878803466,0.0083,4.351079041235782
20/07/2020,4923,142,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.02748480642920292,0.0073,4.27003809140901
13/07/2020,3562,134,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.01988642707715231,0.0069,4.224404358386985
06/07/2020,2660,138,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.014850616514661746,0.0071,4.19416069403293
29/06/2020,2268,100,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.01266210460723791,0.0052,4.181017105976624
22/06/2020,2046,102,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.011422692251502982,0.0053,4.173573543352898
15/06/2020,1520,84,Romania,0.5377358490566042,0.06273411417905367,0.9832572298325724,0.7756061066560681,0.11750881316098649,0.009249118435955266,0.5855201805502507,19356544.0,0.008486066579806712,0.0043,4.155936994073261
