price,address,beds,baths,link,property_type,popularity,date,size
"€275,000","15 Orchard Lane, Aherla, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/terraced-house-15-orchard-lane-aherla-co-cork/3464921,Terrace,"1,841",2021-08-05 05:17:13.731964+00:00,None
"€345,000","79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,Semi-D,"4,170",2021-08-05 05:17:25.174813+00:00,103 m²
"€225,000","36 Castlepark, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,Terrace,"4,843",2021-08-05 05:17:36.213660+00:00,89 m²
"€279,000","104 Caisleán Grove, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,Semi-D,"3,043",2021-08-05 05:17:46.511819+00:00,89 m²
"€325,000","14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,End of Terrace,"3,714",2021-08-05 05:17:56.521850+00:00,108 m²
"€395,000","Vesna, 57 Rosewood, Ballincollig, Co. Cork",4 Bed,3 Bath,https://www.daft.ie/for-sale/detached-house-vesna-57-rosewood-ballincollig-co-cork/3433450,Detached,"6,445",2021-08-05 05:18:07.444012+00:00,203 m²
"€345,000","36 Westcourt Heights, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-36-westcourt-heights-ballincollig-co-cork/3413318,Detached,"5,516",2021-08-05 05:18:17.978993+00:00,129 m²
"€315,000","2 Glendower Court, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-2-glendower-court-ballincollig-co-cork/3411945,Semi-D,"4,218",2021-08-05 05:18:28.736692+00:00,None
"€295,000","17 Coolroe Heights, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-17-coolroe-heights-ballincollig-co-cork/3290154,Semi-D,"3,581",2021-08-05 05:18:39.309808+00:00,118 m²
"€300,000","20 Oak Avenue, Classes Lake, Ovens, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-20-oak-avenue-classes-lake-ovens-co-cork/3245743,Semi-D,"5,100",2021-08-05 05:18:49.495484+00:00,None
"€365,000","Fatima, Poulavone, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-fatima-poulavone-ballincollig-co-cork/2933649,Bungalow,"12,089",2021-08-05 05:19:00.306522+00:00,106 m²
"€325,000","Farran Ovens, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-farran-ovens-ballincollig-co-cork/1519052,Bungalow,"24,395",2021-08-05 05:19:10.646356+00:00,167 m²
"€315,000","2 Glendower Court, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-2-glendower-court-ballincollig-co-cork/3489920,Semi-D,474,2021-08-06 05:10:23.216731+00:00,None
"€295,000","1 Gleann Fia, Bawnnafinny, Tower, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-1-gleann-fia-bawnnafinny-tower-co-cork/3480513,Semi-D,"1,702",2021-08-06 05:10:33.117725+00:00,88 m²
"€275,000","Woodfield, Garravagh, Inniscarra, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-woodfield-garravagh-inniscarra-co-cork/3489094,Detached,"2,119",2021-08-06 05:10:42.998779+00:00,None
"€280,000","25 Leeview, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3486572,Semi-D,637,2021-08-06 05:10:54.207257+00:00,89 m²
"€350,000","50 Old Court, Greenfields, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3486599,Semi-D,547,2021-08-06 05:11:04.844055+00:00,87 m²
"€375,000","The Bungalow, Coolroe, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-the-bungalow-coolroe-ballincollig-co-cork/3486576,Detached,406,2021-08-06 05:11:15.493540+00:00,116 m²
"€330,000","92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-92-leslies-arch-old-quarter-ballincollig-co-cork/3486584,Detached,446,2021-08-06 05:11:26.294829+00:00,93 m²
"€370,000","9 Highfield Crescent, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3486597,Semi-D,389,2021-08-06 05:11:36.426639+00:00,113 m²
"€350,000","22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3486618,Semi-D,286,2021-08-06 05:11:46.278980+00:00,130 m²
"€380,000","Lilly Bank, Model Farm Road, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/bungalow-lilly-bank-model-farm-road-co-cork/3486645,Bungalow,285,2021-08-06 05:11:56.439436+00:00,90 m²
"€345,000","8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3486664,Semi-D,291,2021-08-06 05:12:07.740366+00:00,106 m²
"€285,000","126 Caisleán Way, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-126-caisle-n-way-ballincollig-co-cork/3483728,Semi-D,"2,536",2021-08-06 05:12:18.259652+00:00,87 m²
"€249,500","194 The Willows, Ballincollig, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/semi-detached-house-194-the-willows-ballincollig-co-cork/3481893,Semi-D,"2,655",2021-08-06 05:12:28.505945+00:00,90 m²
"€229,000","25 Innishmore Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-25-innishmore-drive-ballincollig-co-cork/3482025,Bungalow,"2,585",2021-08-06 05:12:39.171877+00:00,None
"€315,000","15 Glincool Grove, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-15-glincool-grove-ballincollig-co-cork/3480568,Detached,"1,961",2021-08-06 05:12:49.745386+00:00,None
"€260,000","21 Leesdale Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,Semi-D,"3,683",2021-08-06 05:13:00.122709+00:00,81 m²
"€380,000","Grange Hill, Ovens, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,Detached,0,2021-08-06 05:13:11.035490+00:00,105 m²
"€395,000","Altona, Kerry Pike, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,Detached,"5,838",2021-08-06 05:13:21.236260+00:00,158 m²
"€380,000","Coolroe Ballincollig Cork, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,Bungalow,"3,568",2021-08-06 05:13:31.818769+00:00,134 m²
"€275,000","15 Orchard Lane, Aherla, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/terraced-house-15-orchard-lane-aherla-co-cork/3464921,Terrace,"1,897",2021-08-06 05:13:41.904825+00:00,None
"€315,000","2 Glendower Court, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-2-glendower-court-ballincollig-co-cork/3489920,Semi-D,476,2021-08-06 05:14:05.068091+00:00,None
"€295,000","1 Gleann Fia, Bawnnafinny, Tower, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-1-gleann-fia-bawnnafinny-tower-co-cork/3480513,Semi-D,"1,702",2021-08-06 05:14:15.020416+00:00,88 m²
"€275,000","Woodfield, Garravagh, Inniscarra, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-woodfield-garravagh-inniscarra-co-cork/3489094,Detached,"2,119",2021-08-06 05:14:25.238582+00:00,None
"€280,000","25 Leeview, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3486572,Semi-D,637,2021-08-06 05:14:36.032996+00:00,89 m²
"€350,000","50 Old Court, Greenfields, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3486599,Semi-D,547,2021-08-06 05:14:46.487783+00:00,87 m²
"€375,000","The Bungalow, Coolroe, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-the-bungalow-coolroe-ballincollig-co-cork/3486576,Detached,406,2021-08-06 05:14:57.030587+00:00,116 m²
"€330,000","92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-92-leslies-arch-old-quarter-ballincollig-co-cork/3486584,Detached,446,2021-08-06 05:15:07.897880+00:00,93 m²
"€370,000","9 Highfield Crescent, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3486597,Semi-D,389,2021-08-06 05:15:18.046505+00:00,113 m²
"€350,000","22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3486618,Semi-D,286,2021-08-06 05:15:28.001777+00:00,130 m²
"€380,000","Lilly Bank, Model Farm Road, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/bungalow-lilly-bank-model-farm-road-co-cork/3486645,Bungalow,285,2021-08-06 05:15:38.467855+00:00,90 m²
"€345,000","8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3486664,Semi-D,291,2021-08-06 05:15:49.596172+00:00,106 m²
"€285,000","126 Caisleán Way, Ballincollig, Co. Cork",3 Bed,3 Bath,https://www.daft.ie/for-sale/semi-detached-house-126-caisle-n-way-ballincollig-co-cork/3483728,Semi-D,"2,536",2021-08-06 05:16:00.230717+00:00,87 m²
"€249,500","194 The Willows, Ballincollig, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/semi-detached-house-194-the-willows-ballincollig-co-cork/3481893,Semi-D,"2,655",2021-08-06 05:16:10.364487+00:00,90 m²
"€229,000","25 Innishmore Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/bungalow-25-innishmore-drive-ballincollig-co-cork/3482025,Bungalow,"2,585",2021-08-06 05:16:20.896533+00:00,None
"€315,000","15 Glincool Grove, Ballincollig, Co. Cork",4 Bed,2 Bath,https://www.daft.ie/for-sale/detached-house-15-glincool-grove-ballincollig-co-cork/3480568,Detached,"1,961",2021-08-06 05:16:31.135666+00:00,None
"€260,000","21 Leesdale Drive, Ballincollig, Co. Cork",3 Bed,2 Bath,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,Semi-D,"3,683",2021-08-06 05:16:41.699327+00:00,81 m²
"€380,000","Grange Hill, Ovens, Co. Cork",3 Bed,1 Bath,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,Detached,"1,069",2021-08-06 05:16:51.790620+00:00,105 m²
