address,property_type,beds,baths,price,area,geocode,lat,long
"200 The Willows, Ballincollig, Co. Cork", Semi-Detached House,3.0,1.0,250000,Carrigrohanebeg,"51.89309917070151, -8.580849757357647",51.89309917070151,-8.580849757357647
"168 Caislean View, Ballincollig, Co. Cork", Semi-Detached House,3.0,3.0,265000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
"1 Tara, An Caislean, Ballincollig, Co. Cork",Apartment for sale,2.0,2.0,220000,An Caislean,"51.88419579207018, -8.604721941977742",51.88419579207018,-8.604721941977742
"4 Old Quarry, Coolroe, Ballincollig, Co. Cork",Apartment for sale,2.0,2.0,225000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
"44 Daffodil Fields, Ballincollig, Co. Cork", Semi-Detached House,4.0,3.0,365000,Daffodil Fields,"51.89114262893351, -8.573402430369397",51.89114262893351,-8.573402430369397
"33 The Lawn, Coolroe Meadows, Ballincollig, Co. Cork", Terraced House,3.0,0.0,265000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
"25 The Close, Coolroe Meadows, Ballincollig, Co. Cork", Semi-Detached House,4.0,0.0,350000,Coolroe,"51.885279789132504, -8.622716969745719",51.885279789132504,-8.622716969745719
"4 Carriganarra, Ballincollig, Co. Cork",Bungalow for sale,4.0,1.0,350000,Carriganarra,"51.88456579585057, -8.579854607281877",51.88456579585057,-8.579854607281877
"98 Beech Park, Ballincollig, Co. Cork", Semi-Detached House,3.0,1.0,220000,Beech Park,"51.884462825784524, -8.586660730369518",51.884462825784524,-8.586660730369518
"Fernway, Classes Lake, Ballincollig, Co. Cork",Duplex for sale,4.0,3.0,255000,Classis Lake,"51.88586099008718, -8.62822296864587",51.88586099008718,-8.62822296864587
"5 Old Court, Greenfields, Ballincollig, Co. Cork", Detached House,4.0,3.0,440000,Greenfield,"51.88072634468435, -8.611355403381312",51.88072634468435,-8.611355403381312
"Bride Park Cottage, Killumney, Ovens, Ballincollig, Co. Cork", Detached House,4.0,3.0,rice On Application,Ovens,"51.88127654707539, -8.658682937965343",51.88127654707539,-8.658682937965343
"Innis Moy, Castle Road, Ballincollig, Co. Cork", Detached House,3.0,0.0,295000,Castle Road,"51.88234227885883, -8.598250759204856",51.88234227885883,-8.598250759204856
