date,daily_cases,country
"16 Apr
,10
,8
,15
,34
,17
,407
,7
,2
,63
,9
,8
,0
,39
,4
,22
,14
,40
,4
,6
,13
,1
,13
,8
,14
,9
,7
,
,
",724,Ireland
"17 Apr
,2
,33
,2
,49
,7
,445
,10
,6
,79
,9
,21
,1
,2
,5
,-1
,39
,39
,4
,10
,2
,6
,9
,2
,26
,13
,36
,
,
",709,Ireland
"18 Apr
,7
,15
,7
,19
,7
,287
,11
,6
,54
,9
,2
,2
,17
,3
,32
,20
,13
,13
,3
,15
,2
,8
,1
,11
,2
,17
,
,
",778,Ireland
"19 Apr
,1
,2
,4
,6
,9
,115
,0
,0
,5
,4
,7
,5
,8
,3
,32
,3
,9
,12
,5
,0
,13
,6
,4
,8
,14
,2
,
,
",493,Ireland
"20 Apr
,1
,27
,1
,24
,24
,124
,15
,0
,29
,6
,8
,1
,6
,7
,20
,4
,17
,21
,3
,0
,4
,14
,2
,9
,23
,17
,
,
",401,Ireland
"21 Apr
,4
,36
,22
,10
,15
,311
,6
,3
,24
,6
,7
,1
,5
,1
,17
,26
,11
,29
,7
,1
,1
,7
,3
,9
,0
,6
,
,
",388,Ireland
"22 Apr
,2
,40
,19
,9
,9
,513
,16
,0
,79
,5
,10
,6
,19
,0
,30
,26
,18
,69
,12
,19
,7
,16
,0
,14
,6
,37
,
,
",631,Ireland
"23 Apr
,2
,30
,1
,7
,-3
,281
,1
,5
,49
,2
,2
,0
,2
,11
,54
,4
,10
,9
,5
,3
,-1
,2
,7
,12
,8
,52
,
,
",936,Ireland
"24 Apr
,3
,38
,2
,7
,9
,214
,0
,1
,25
,1
,1
,2
,1
,11
,7
,40
,35
,23
,3
,2
,0
,1
,6
,16
,5
,10
,
,
",577,Ireland
"25 Apr
,1
,35
,3
,15
,6
,308
,3
,11
,99
,3
,0
,2
,15
,5
,30
,29
,13
,23
,3
,19
,10
,18
,2
,9
,6
,-11
,
,
",377,Ireland
"26 Apr
,1
,18
,17
,1
,1
,92
,-3
,0
,20
,0
,7
,1
,61
,6
,13
,2
,12
,12
,8
,6
,3
,6
,1
,2
,0
,1
,
,
",701,Ireland
"27 Apr
,2
,7
,3
,10
,1
,127
,19
,4
,15
,3
,4
,0
,14
,10
,12
,12
,23
,3
,28
,7
,-1
,19
,-1
,13
,0
,6
,
,
",386,Ireland
"28 Apr
,0
,0
,0
,10
,2
,216
,4
,0
,31
,6
,2
,1
,3
,1
,3
,5
,10
,5
,18
,2
,0
,26
,0
,13
,5
,25
,
,
",229,Ireland
"29 Apr
,5
,10
,4
,8
,2
,203
,0
,1
,22
,8
,6
,0
,13
,3
,4
,2
,10
,6
,2
,1
,0
,53
,1
,13
,12
,10
,
,
",376,Ireland
"30 Apr
,0
,12
,1
,2
,1
,107
,2
,1
,11
,4
,6
,0
,16
,1
,8
,3
,6
,4
,9
,9
,2
,5
,0
,13
,4
,5
,
,
",359,Ireland
"1 May
,26
,17
,3
,8
,2
,129
,8
,1
,16
,4
,4
,-1
,16
,3
,6
,6
,12
,6
,12
,14
,-1
,5
,1
,9
,2
,14
,
,
",221,Ireland
"2 May
,1
,9
,5
,11
,4
,155
,0
,3
,26
,1
,3
,3
,3
,60
,6
,7
,14
,14
,9
,0
,2
,1
,1
,31
,0
,4
,
,
",343,Ireland
