date,daily_cases,country
"2020-03-16
,(1) 48
,(17) 108
,(30) 405
,(202) 1,377
,(6) 301
,
,(1) 37
,(8) 39
,(62) 429
,(11) 109
,(6) 85
,21
,(3) 87
,(1) 39
,(1) 4
,67
,1
,
,21
,25
,30
,
,
,
,
,1,851
,23,073
,414
,2,749
,137,962
,
,
","3,233",Italy
"2020-03-17
,31
,(10) 111
,(22) 381
,(220) 1,571
,(11) 231
,(1) 7
,(2) 50
,(8) 8
,(47) 409
,(12) 129
,(3) 187
,33
,(4) 84
,(2) 53
,4
,60
,8
,(2) 110
,25
,(1) 24
,10
,
,
,
,
,2,060
,26,062
,192
,2,941
,148,657
,
,
","3,526",Italy
"2020-03-18
,(1) 29
,(13) 109
,(21) 444
,(319) 1,493
,(14) 510
,70
,(1) 85
,(1) 68
,(65) 594
,(23) 197
,(5) 277
,(1) 50
,(9) 117
,(1) 34
,3
,
,7
,(1) 43
,15
,45
,17
,
,
,
,
,2,257
,28,710
,1,084
,4,025
,165,541
,
,
","4,207",Italy
"2020-03-19
,(3) 50
,(18) 172
,(21) 591
,(209) 2,171
,(21) 270
,(5) 68
,(5) 60
,(5) 137
,(73) 689
,(23) 169
,(16) 152
,87
,(6) 99
,(4) 122
,(1) 18
,(8) 192
,10
,(6) 95
,(2) 40
,(1) 58
,72
,
,
,
,
,2,498
,33,190
,415
,4,440
,182,777
,
,
","5,322",Italy
"2020-03-20
,(1) 49
,(28) 162
,(34) 529
,(381) 2,380
,(16) 547
,(1) 119
,(3) 112
,(2) 57
,(109) 754
,(22) 244
,(9) 311
,(5) 61
,(5) 185
,(6) 64
,(3) 4
,97
,15
,(1) 103
,(1) 38
,68
,87
,
,
,
,
,2,655
,37,860
,689
,5,129
,206,886
,
,
","5,986",Italy
"2020-03-21
,(1) 49
,(33) 215
,(29) 291
,(546) 3,251
,(15) 586
,(15) 140
,(3) 73
,(4) 134
,(75) 737
,(17) 172
,(25) 219
,(3) 67
,(7) 182
,(5) 80
,(2) 11
,(5) 95
,14
,(3) 94
,(1) 28
,(2) 82
,(2) 37
,
,
,
,
,2,857
,42,681
,943
,6,072
,233,222
,
,
","6,557",Italy
"2020-03-22
,(1) 51
,(19) 229
,(45) 668
,(361) 1,691
,(23) 505
,(7) 172
,(3) 57
,(5) 84
,(101) 850
,(30) 268
,(19) 265
,(6) 59
,(3) 193
,(11) 58
,5
,(7) 92
,15
,(2) 111
,(2) 38
,(2) 140
,(3) 9
,
,
,
,
,3,009
,46,638
,952
,7,024
,258,402
,
,
","5,560",Italy
"2020-03-23
,(3) 29
,(41) 259
,(32) 441
,(320) 1,555
,(23) 383
,(6) 69
,(6) 46
,(7) 56
,(76) 980
,(19) 148
,(18) 184
,56
,(10) 157
,(5) 76
,1
,(20) 90
,(1) 9
,(6) 120
,19
,(5) 91
,(4) 20
,
,
,
,
,3,204
,50,418
,408
,7,432
,275,468
,
,
","4,789",Italy
"2020-03-24
,(7) 7
,(19) 192
,(59) 654
,(402) 1,942
,(24) 443
,(15) 87
,(9) 57
,(10) 62
,(93) 719
,(28) 167
,(20) 238
,(3) 71
,(17) 188
,(8) 26
,(1) 6
,(7) 75
,2
,(7) 99
,(3) 27
,(7) 125
,(4) 62
,
,
,
,
,3,396
,54,030
,894
,8,326
,296,964
,
,
","5,249",Italy
"2020-03-25
,(5) 1
,(23) 189
,(75) 509
,(296) 1,643
,(42) 494
,(18) 112
,(5) 77
,(6) 147
,(92) 800
,(56) 198
,(13) 273
,62
,(15) 173
,(6) 124
,
,(18) 98
,21
,(4) 88
,(1) 32
,(5) 148
,(3) 21
,
,
,
,
,3,489
,57,521
,1,036
,9,362
,324,445
,
,
","5,210",Italy
"2020-03-26
,(4) 7
,(26) 262
,(50) 510
,(387) 2,543
,(29) 493
,(12) 75
,(5) 48
,(2) 84
,(97) 762
,(23) 180
,(16) 254
,(1) 92
,(11) 195
,(11) 133
,30
,(9) 111
,21
,(17) 89
,(3) 42
,(8) 170
,(1) 52
,
,
,
,
,3,612
,62,013
,999
,10,361
,361,060
,
,
","6,153",Italy
"2020-03-27
,(9) 44
,(51) 129
,(70) 558
,(541) 2,409
,(26) 562
,(16) 94
,(12) 97
,(4) 94
,(93) 772
,(26) 82
,(19) 224
,(1) 82
,(12) 199
,(5) 71
,(1) 6
,(15) 144
,(2) 17
,(4) 152
,(4) 101
,(6) 86
,(2) 36
,
,
,
,
,3,732
,66,414
,589
,10,950
,394,079
,
,
","5,959",Italy
"2020-03-28
,(4) 59
,(27) 126
,(48) 579
,(542) 2,117
,(49) 433
,(18) 114
,(4) 106
,(11) 119
,(77) 795
,(28) 177
,(21) 367
,(7) 85
,(6) 210
,(8) 116
,14
,(11) 138
,31
,(2) 124
,(3) 61
,(18) 109
,(5) 94
,
,
,
,
,3,856
,70,065
,1,434
,12,384
,429,526
,
,
","5,974",Italy
"2020-03-29
,(2) 73
,(19) 254
,(67) 535
,(416) 1,592
,(30) 428
,(9) 89
,105
,(11) 44
,(99) 736
,(22) 185
,(17) 305
,(3) 54
,(12) 201
,(12) 160
,4
,(8) 167
,(1) 20
,(15) 91
,(4) 59
,(8) 101
,(1) 14
,
,
,
,
,3,906
,73,880
,646
,13,030
,454,030
,
,
","5,217",Italy
"2020-03-30
,(7) 
,(20) 141
,(65) 506
,(458) 1,154
,(21) 366
,(18) 88
,(10) 111
,(9) 21
,(95) 412
,(31) 126
,(16) 290
,(2) 28
,(14) 208
,(14) 52
,7
,(8) 193
,(1) 12
,(5) 163
,(6) 33
,(11) 95
,(1) 44
,
,
,
,
,3,981
,75,528
,1,590
,14,620
,477,359
,
,
","4,050",Italy
"2020-03-31
,(6) 44
,(31) 199
,(105) 589
,(381) 1,047
,(64) 431
,(17) 64
,(2) 46
,(6) 92
,(106) 543
,(35) 141
,(13) 196
,(4) 27
,(12) 181
,(13) 56
,10
,(8) 140
,(2) 12
,(19) 91
,(5) 12
,(5) 92
,(3) 40
,
,
,
,
,4,023
,77,635
,1,109
,15,729
,506,968
,
,
","4,053",Italy
"2020-04-01
,(3) 3
,(32) 244
,(32) 494
,(394) 1,565
,(22) 470
,(9) 124
,(40) 47
,(9) 92
,(88) 713
,(25) 137
,(9) 259
,17
,(7) 169
,(8) 35
,(1) 16
,(15) 139
,(2) 11
,(19) 143
,(2) 10
,(7) 71
,(3) 23
,
,
,
,
,4,035
,80,572
,1,118
,16,847
,541,423
,
,
","4,782",Italy
"2020-04-02
,(4) 37
,(28) 122
,(97) 558
,(367) 1,292
,(33) 486
,(14) 133
,(13) 61
,(7) 114
,(79) 546
,(26) 136
,(15) 406
,(1) 33
,(16) 169
,(10) 61
,(1) 5
,(19) 225
,(1) 9
,(15) 131
,(3) 22
,(5) 73
,(6) 49
,
,
,
,
,4,053
,83,049
,1,431
,18,278
,581,232
,
,
","4,668",Italy
"2020-04-03
,(7) 51
,(31) 183
,(60) 543
,(351) 1,455
,(40) 353
,(17) 106
,(10) 80
,(7) 80
,(91) 599
,(54) 132
,(22) 226
,(1) 51
,(14) 167
,(13) 66
,11
,(14) 221
,(1) 15
,(20) 105
,(4) 42
,(8) 68
,(1) 31
,
,
,
,
,4,068
,85,388
,1,480
,19,758
,619,849
,
,
","4,585",Italy
"2020-04-04
,(12) 29
,(23) 238
,(85) 813
,(345) 1,598
,(35) 360
,(6) 111
,(7) 33
,(9) 107
,(75) 608
,(17) 111
,(17) 172
,(2) 31
,(13) 157
,(7) 65
,30
,(5) 151
,3
,(9) 58
,(4) 8
,(10) 73
,49
,
,
,
,
,3,994
,88,274
,1,238
,20,996
,657,224
,
,
","4,805",Italy
"2020-04-05
,(9) 34
,(14) 246
,(40) 653
,(249) 1,337
,(24) 402
,(7) 65
,(12) 52
,(9) 62
,(74) 549
,(25) 123
,(18) 176
,(2) 29
,(7) 123
,(5) 75
,(2) 18
,(3) 132
,(2) 14
,(9) 77
,(7) 54
,(5) 62
,(2) 33
,
,
,
,
,3,977
,91,246
,819
,21,815
,691,461
,
,
","4,316",Italy
"2020-04-06
,(5) 23
,(39) 100
,(83) 562
,(297) 1,079
,(31) 362
,(13) 63
,(6) 78
,(4) 55
,(57) 467
,(13) 150
,(25) 154
,(1) 14
,(10) 151
,(11) 18
,
,(15) 98
,9
,(13) 127
,(2) 22
,(7) 52
,(4) 15
,
,
,
,
,3,898
,93,187
,1,022
,22,837
,721,732
,
,
","3,599",Italy
"2020-04-07
,(4) 30
,(25) 208
,(68) 419
,(282) 791
,(33) 337
,(14) 128
,(10) 89
,(6) 50
,(72) 269
,(18) 96
,(19) 172
,(5) 10
,(9) 118
,(3) 78
,
,(12) 90
,(1) 4
,(14) 70
,(2) 16
,(2) 51
,(5) 13
,
,
,
,
,3,792
,94,067
,1,555
,24,392
,755,445
,
,
","3,039",Italy
"2020-04-08
,(2) 15
,(34) 149
,(59) 540
,(238) 1,089
,(41) 485
,(11) 126
,(9) 24
,(5) 65
,(54) 409
,(22) 149
,(23) 206
,(1) 26
,(6) 117
,(7) 60
,2
,(5) 120
,6
,(10) 120
,26
,(8) 62
,(7) 40
,
,
,
,
,3,693
,95,262
,2,099
,26,491
,807,125
,
,
","3,836",Italy
"2020-04-09
,(3) 18
,(28) 114
,(76) 639
,(300) 1,388
,(20) 523
,(13) 106
,(4) 68
,(2) 81
,(82) 443
,(17) 96
,(16) 173
,(1) 9
,(9) 163
,(15) 72
,8
,(6) 76
,(1) 6
,(6) 82
,(1) 15
,(5) 73
,(5) 51
,
,
,
,
,3,605
,96,877
,1,979
,28,470
,853,369
,
,
","4,204",Italy
"2020-04-10
,(2) 11
,(27) 171
,(78) 490
,(216) 1,246
,(37) 488
,(7) 108
,(4) 52
,(8) 50
,(81) 451
,(13) 129
,(46) 175
,(1) 4
,(10) 154
,(4) 83
,9
,(4) 98
,5
,(13) 93
,(4) 27
,(10) 70
,(5) 37
,
,
,
,
,3,497
,98,273
,1,985
,30,455
,906,864
,
,
","3,951",Italy
"2020-04-11
,23
,(25) 185
,(101) 996
,(273) 1,544
,(38) 347
,(9) 154
,(9) 2
,(6) 44
,(84) 507
,(7) 127
,(13) 231
,7
,(10) 140
,(8) 106
,(1) 3
,(7) 75
,(2) 4
,(15) 95
,(1) 14
,(6) 62
,(4) 28
,
,
,
,
,3,381
,100,269
,2,079
,32,534
,963,473
,
,
","4,694",Italy
"2020-04-12
,(5) 19
,(15) 118
,(96) 652
,(110) 1,460
,(25) 309
,(9) 83
,(5) 141
,(10) 38
,(83) 463
,(11) 92
,(28) 277
,10
,(6) 122
,(6) 40
,(1) 11
,(4) 87
,(1) 3
,(7) 85
,8
,(9) 52
,22
,
,
,
,
,3,343
,102,253
,1,677
,34,211
,1,010,193
,
,
","4,092",Italy
"2020-04-13
,(3) 6
,(11) 102
,(97) 474
,(280) 1,262
,(26) 174
,(7) 73
,(7) 51
,(7) 51
,(51) 342
,(13) 78
,(23) 155
,1
,(5) 123
,(12) 53
,
,(6) 66
,4
,(7) 76
,(1) 5
,(8) 42
,(2) 15
,
,
,
,
,3,260
,103,616
,1,224
,35,435
,1,046,910
,
,
","3,153",Italy
