date,daily_cases1,daily_cases2,daily_cases3,daily_cases4,country
"16 Jun
</th>",252,8,15,53,UK
"17 Jun
</th>",281,1,6,48,UK
"18 Jun
</th>",323,3,24,31,UK
"19 Jun
</th>",324,0,15,25,UK
"20 Jun
</th>",215,4,17,100,UK
"21 Jun
</th>",178,1,10,71,UK
"22 Jun
</th>",210,0,10,51,UK
"23 Jun
</th>",107,2,8,47,UK
"24 Jun
</th>",261,1,0,125,UK
"25 Jun
</th>",175,2,5,65,UK
"26 Jun
</th>",192,1,7,46,UK
"27 Jun
</th>",142,1,1,25,UK
"28 Jun
</th>",99,2,3,116,UK
"29 Jun
</th>",196,0,4,26,UK
"30 Jun
</th>",177,0,5,32,UK
,,,,,UK
,,,,,UK
,,,,,UK
,,,,,UK
"1 Jul
</th>",141,2,2,41,UK
"2 Jul
</th>",105,2,7,26,UK
"3 Jul
</th>",129,unavailable,0,34,UK
"4 Jul
</th>",136,unavailable,4,15,UK
"5 Jul
</th>",81,2,1,8,UK
"6 Jul
</th>",158,4,2,2,UK
"7 Jul
</th>",156,3,5,13,UK
"8 Jul
</th>",137,1,3,16,UK
"9 Jul
</th>",136,4,2,10,UK
"10 Jul
</th>",202,unavailable,1,7,UK
"11 Jul
</th>",104,unavailable,1,16,UK
"12 Jul
</th>",72,1,4,11,UK
"13 Jul
</th>",99,0,1,19,UK
"14 Jul
</th>",146,1,1,16,UK
"15 Jul
</th>",134,0,6,11,UK
"16 Jul
</th>",147,2,4,16,UK
"17 Jul
</th>",180,unavailable,0,10,UK
"18 Jul
</th>",120,unavailable,3,12,UK
"19 Jul
</th>",58,0,2,6,UK
"20 Jul
</th>",91,0,3,15,UK
"21 Jul
</th>",54,2,1,20,UK
"22 Jul
</th>",104,6,0,28,UK
"23 Jul
</th>",113,4,0,23,UK
"24 Jul
</th>",154,unavailable,2,16,UK
"25 Jul
</th>",91,unavailable,1,11,UK
"26 Jul
</th>",87,4,0,18,UK
"27 Jul
</th>",97,0,0,11,UK
"28 Jul
</th>",67,1,1,21,UK
"29 Jul
</th>",92,0,1,6,UK
"30 Jul
</th>",100,1,3,14,UK
"31 Jul
</th>",116,0,2,10,UK
,,,,,UK
,,,,,UK
,,,,,UK
,,,,,UK
"1 Aug
</th>",81,unavailable,1,22,UK
"2 Aug
</th>",80,6,2,18,UK
"3 Aug
</th>",73,4,5,7,UK
"4 Aug
</th>",75,4,4,4,UK
"5 Aug
</th>",135,5,2,10,UK
"6 Aug
</th>",58,1,6,10,UK
"7 Aug
</th>",98,unavailable,2,9,UK
"8 Aug
</th>",86,0,9,11,UK
"9 Aug
</th>",61,12,−2,5,UK
"10 Aug
</th>",91,1,4,0,UK
"11 Aug
</th>",55,1,4,4,UK
"12 Aug
</th>",,,,,UK
"13 Aug
</th>",262,3,2,4,UK
"14 Aug
</th>",85,10,4,8,UK
"15 Aug
</th>",78,6,4,1,UK
"16 Aug
</th>",80,2,7,2,UK
"17 Aug
</th>",72,6,1,5,UK
"18 Aug
</th>",73,5,4,6,UK
"19 Aug
</th>",92,8,8,3,UK
,166 131,4 994,15 960,16 289,UK
,,,,,UK
,,,,,UK
"s=""reference plainlinks nourlexpansion"" id=""ref_a""><a href=""#endnote_a"">a</a></sup> <sup class=""reference plainlinks nourlexpansion"" id=""ref_h""><a href=""#endnote_h"">h</a></sup><sup id=""cite_ref-GOV_1-17"" class=""reference""><a href=""#cite_note-GOV-1"">[1]</a></sup><sup id=""cite_ref-Twitter_DHSC_2-7"" class=""reference""><a href=""#cite_note-Twitter_DHSC-2"">[2]</a></sup>
</th>",,,,,UK
"=""reference plainlinks nourlexpansion"" id=""ref_f""><a href=""#endnote_f"">f</a></sup><sup id=""cite_ref-GOV_1-19"" class=""reference""><a href=""#cite_note-GOV-1"">[1]</a></sup>
</th>",,,,,UK
