country,cases,deaths,date,median_age,gdp_per_capita,diabetes_prevalence,curative_beds_per_hundred_thousand,life_expectancy,testing_rate,positivity_rate,Population,cases_per_capita,deaths_per_capita,severity_ratio
Luxembourg,59,6,2020-05-18,0.22641509433962348,1.0,0.17351598173515986,0.4056530989175414,0.8460634547591077,0.29861606505920957,0.08888888888888888,619896.0,0.010285462938433612,1e-05,0.44640413858041084
Luxembourg,47,3,2020-05-25,0.22641509433962348,1.0,0.17351598173515986,0.4056530989175414,0.8460634547591077,0.29861606505920957,0.08888888888888888,619896.0,0.008193504374684404,5e-06,0.4409735455526554
Luxembourg,26,0,2020-06-01,0.22641509433962348,1.0,0.17351598173515986,0.4056530989175414,0.8460634547591077,0.29861606505920957,0.08888888888888888,619896.0,0.004532576888123287,0.0,0.4314700077540834
Luxembourg,21,0,2020-06-08,0.22641509433962348,1.0,0.17351598173515986,0.4056530989175414,0.8460634547591077,0.29861606505920957,0.08888888888888888,619896.0,0.003660927486561117,0.0,0.42920726065918524
Luxembourg,31,0,2020-06-15,0.22641509433962348,1.0,0.17351598173515986,0.4056530989175414,0.8460634547591077,0.29861606505920957,0.08888888888888888,619896.0,0.005404226289685458,0.0,0.43373275484898144
Luxembourg,50,0,2020-06-22,0.22641509433962348,1.0,0.17351598173515986,0.4056530989175414,0.8460634547591077,0.29861606505920957,0.08888888888888888,619896.0,0.008716494015621707,0.0,0.44233119380959424
Luxembourg,122,0,2020-06-29,0.22641509433962348,1.0,0.17351598173515986,0.4056530989175414,0.8460634547591077,0.29861606505920957,0.08888888888888888,619896.0,0.021268245398116965,0.0,0.47491475197612704
Luxembourg,280,0,2020-07-06,0.22641509433962348,1.0,0.17351598173515986,0.4056530989175414,0.8460634547591077,0.29861606505920957,0.08888888888888888,619896.0,0.04881236648748155,0.0,0.5464175601749072
Luxembourg,403,1,2020-07-13,0.22641509433962348,1.0,0.17351598173515986,0.4056530989175414,0.8460634547591077,0.29861606505920957,0.08888888888888888,619896.0,0.07025494176591096,2e-06,0.6020811387094006
Luxembourg,558,0,2020-07-20,0.22641509433962348,1.0,0.17351598173515986,0.4056530989175414,0.8460634547591077,0.29861606505920957,0.08888888888888888,619896.0,0.09727607321433825,0.0,0.672226298651242
Luxembourg,789,1,2020-07-27,0.22641509433962348,1.0,0.17351598173515986,0.4056530989175414,0.8460634547591077,0.29861606505920957,0.08888888888888888,619896.0,0.13754627556651053,2e-06,0.7767652144355344
